id,province,adcode,model,regYear,regMonth,forecastVolum
1,上海,310000,3c974920a76ac9c1,2018,1,162.79807585372555
2,云南,530000,3c974920a76ac9c1,2018,1,174.9036928719505
3,内蒙古,150000,3c974920a76ac9c1,2018,1,50.070185128820356
4,北京,110000,3c974920a76ac9c1,2018,1,135.49511201501144
5,四川,510000,3c974920a76ac9c1,2018,1,168.8083927256036
6,安徽,340000,3c974920a76ac9c1,2018,1,70.2435123790292
7,山东,370000,3c974920a76ac9c1,2018,1,256.34487097623395
8,山西,140000,3c974920a76ac9c1,2018,1,80.99489424679314
9,广东,440000,3c974920a76ac9c1,2018,1,2132.4619841883314
10,广西,450000,3c974920a76ac9c1,2018,1,222.94127263134754
11,江苏,320000,3c974920a76ac9c1,2018,1,519.836857237086
12,江西,360000,3c974920a76ac9c1,2018,1,65.2130889028482
13,河北,130000,3c974920a76ac9c1,2018,1,148.91017184928637
14,河南,410000,3c974920a76ac9c1,2018,1,164.14437054490463
15,浙江,330000,3c974920a76ac9c1,2018,1,513.9903785083923
16,湖北,420000,3c974920a76ac9c1,2018,1,268.20966811654364
17,湖南,430000,3c974920a76ac9c1,2018,1,174.43671242556366
18,福建,350000,3c974920a76ac9c1,2018,1,155.33465493325025
19,辽宁,210000,3c974920a76ac9c1,2018,1,532.5588982174145
20,重庆,500000,3c974920a76ac9c1,2018,1,26.792260460279977
21,陕西,610000,3c974920a76ac9c1,2018,1,154.47443851103867
22,黑龙江,230000,3c974920a76ac9c1,2018,1,154.77650172618496
23,上海,310000,3d7554f1f56dd664,2018,1,306.8756327892521
24,云南,530000,3d7554f1f56dd664,2018,1,269.7109035644808
25,内蒙古,150000,3d7554f1f56dd664,2018,1,220.94060265472757
26,北京,110000,3d7554f1f56dd664,2018,1,189.9052971910636
27,四川,510000,3d7554f1f56dd664,2018,1,541.8887342721888
28,安徽,340000,3d7554f1f56dd664,2018,1,442.5932909513708
29,山东,370000,3d7554f1f56dd664,2018,1,1029.4914289007925
30,山西,140000,3d7554f1f56dd664,2018,1,322.96736036701725
31,广东,440000,3d7554f1f56dd664,2018,1,7878.030750227545
32,广西,450000,3d7554f1f56dd664,2018,1,714.6047995773499
33,江苏,320000,3d7554f1f56dd664,2018,1,1783.8842915338435
34,江西,360000,3d7554f1f56dd664,2018,1,364.6754575117058
35,河北,130000,3d7554f1f56dd664,2018,1,798.5881055406745
36,河南,410000,3d7554f1f56dd664,2018,1,816.9185743524542
37,浙江,330000,3d7554f1f56dd664,2018,1,1539.9460527375359
38,湖北,420000,3d7554f1f56dd664,2018,1,766.6564036646861
39,湖南,430000,3d7554f1f56dd664,2018,1,565.7127792979595
40,福建,350000,3d7554f1f56dd664,2018,1,1000.1785922967522
41,辽宁,210000,3d7554f1f56dd664,2018,1,1428.1157189536193
42,重庆,500000,3d7554f1f56dd664,2018,1,205.6219093282885
43,陕西,610000,3d7554f1f56dd664,2018,1,355.69789280692214
44,黑龙江,230000,3d7554f1f56dd664,2018,1,568.2029276889318
45,上海,310000,2d0d2c3403909fdb,2018,1,-21.346142771845848
46,云南,530000,2d0d2c3403909fdb,2018,1,83.99769090509955
47,内蒙古,150000,2d0d2c3403909fdb,2018,1,19.764424631799784
48,北京,110000,2d0d2c3403909fdb,2018,1,136.30687127545104
49,四川,510000,2d0d2c3403909fdb,2018,1,87.93632159016408
50,安徽,340000,2d0d2c3403909fdb,2018,1,-33.87309277566237
51,山东,370000,2d0d2c3403909fdb,2018,1,151.0013630617206
52,山西,140000,2d0d2c3403909fdb,2018,1,-20.870122417968787
53,广东,440000,2d0d2c3403909fdb,2018,1,1214.0090934344398
54,广西,450000,2d0d2c3403909fdb,2018,1,9.522698089025198
55,江苏,320000,2d0d2c3403909fdb,2018,1,181.78717522271523
56,江西,360000,2d0d2c3403909fdb,2018,1,-50.14175007435108
57,河北,130000,2d0d2c3403909fdb,2018,1,116.50279574200499
58,河南,410000,2d0d2c3403909fdb,2018,1,83.09728354283016
59,浙江,330000,2d0d2c3403909fdb,2018,1,172.2881870250833
60,湖北,420000,2d0d2c3403909fdb,2018,1,37.826322678481404
61,湖南,430000,2d0d2c3403909fdb,2018,1,18.470822014009627
62,福建,350000,2d0d2c3403909fdb,2018,1,-49.20632325063298
63,辽宁,210000,2d0d2c3403909fdb,2018,1,270.028888418495
64,重庆,500000,2d0d2c3403909fdb,2018,1,-24.164150690554834
65,陕西,610000,2d0d2c3403909fdb,2018,1,58.36621410538845
66,黑龙江,230000,2d0d2c3403909fdb,2018,1,72.5658727573283
67,上海,310000,a28bb927b6fcb33c,2018,1,37.07275273247211
