id,province,adcode,model,regYear,regMonth,forecastVolum
1,上海,310000,3c974920a76ac9c1,2018,1,179.08497584861084
2,云南,530000,3c974920a76ac9c1,2018,1,206.76767688237038
3,内蒙古,150000,3c974920a76ac9c1,2018,1,64.68299198524596
4,北京,110000,3c974920a76ac9c1,2018,1,169.179599016959
5,四川,510000,3c974920a76ac9c1,2018,1,214.60470659213757
6,安徽,340000,3c974920a76ac9c1,2018,1,81.872172476385
7,山东,370000,3c974920a76ac9c1,2018,1,280.48857038848325
8,山西,140000,3c974920a76ac9c1,2018,1,101.16553395693751
9,广东,440000,3c974920a76ac9c1,2018,1,2284.753640848757
10,广西,450000,3c974920a76ac9c1,2018,1,247.52735742636168
11,江苏,320000,3c974920a76ac9c1,2018,1,553.0190185687659
12,江西,360000,3c974920a76ac9c1,2018,1,83.13515342555957
13,河北,130000,3c974920a76ac9c1,2018,1,171.47231501393878
14,河南,410000,3c974920a76ac9c1,2018,1,190.00575418105643
15,浙江,330000,3c974920a76ac9c1,2018,1,539.3447943596192
16,湖北,420000,3c974920a76ac9c1,2018,1,289.74344036357513
17,湖南,430000,3c974920a76ac9c1,2018,1,194.87942484695088
18,福建,350000,3c974920a76ac9c1,2018,1,179.9565532356412
19,辽宁,210000,3c974920a76ac9c1,2018,1,553.2273640042331
20,重庆,500000,3c974920a76ac9c1,2018,1,38.15110782326548
21,陕西,610000,3c974920a76ac9c1,2018,1,176.5620272527584
22,黑龙江,230000,3c974920a76ac9c1,2018,1,170.2502986905983
23,上海,310000,3d7554f1f56dd664,2018,1,251.66116052854625
24,云南,530000,3d7554f1f56dd664,2018,1,219.70309225571134
25,内蒙古,150000,3d7554f1f56dd664,2018,1,155.4403241221563
26,北京,110000,3d7554f1f56dd664,2018,1,170.59853873049195
27,四川,510000,3d7554f1f56dd664,2018,1,500.83670230555765
28,安徽,340000,3d7554f1f56dd664,2018,1,352.3554684530202
29,山东,370000,3d7554f1f56dd664,2018,1,937.9756811016955
30,山西,140000,3d7554f1f56dd664,2018,1,262.611216759575
31,广东,440000,3d7554f1f56dd664,2018,1,7907.360445037442
32,广西,450000,3d7554f1f56dd664,2018,1,665.6498422689872
33,江苏,320000,3d7554f1f56dd664,2018,1,1671.9810684057486
34,江西,360000,3d7554f1f56dd664,2018,1,317.49400178396735
35,河北,130000,3d7554f1f56dd664,2018,1,719.9597842366427
36,河南,410000,3d7554f1f56dd664,2018,1,687.9221688499242
37,浙江,330000,3d7554f1f56dd664,2018,1,1482.6243251044634
38,湖北,420000,3d7554f1f56dd664,2018,1,701.4850942881355
39,湖南,430000,3d7554f1f56dd664,2018,1,513.5774949858827
40,福建,350000,3d7554f1f56dd664,2018,1,983.221191776038
41,辽宁,210000,3d7554f1f56dd664,2018,1,1390.3706846764012
42,重庆,500000,3d7554f1f56dd664,2018,1,157.899260400105
43,陕西,610000,3d7554f1f56dd664,2018,1,294.7693031657071
