province,adcode,model,regYear,regMonth
上海,310000,3c974920a76ac9c1,2018,1
云南,530000,3c974920a76ac9c1,2018,1
内蒙古,150000,3c974920a76ac9c1,2018,1
北京,110000,3c974920a76ac9c1,2018,1
四川,510000,3c974920a76ac9c1,2018,1
安徽,340000,3c974920a76ac9c1,2018,1
山东,370000,3c974920a76ac9c1,2018,1
山西,140000,3c974920a76ac9c1,2018,1
广东,440000,3c974920a76ac9c1,2018,1
广西,450000,3c974920a76ac9c1,2018,1
江苏,320000,3c974920a76ac9c1,2018,1
江西,360000,3c974920a76ac9c1,2018,1
河北,130000,3c974920a76ac9c1,2018,1
河南,410000,3c974920a76ac9c1,2018,1
浙江,330000,3c974920a76ac9c1,2018,1
湖北,420000,3c974920a76ac9c1,2018,1
湖南,430000,3c974920a76ac9c1,2018,1
福建,350000,3c974920a76ac9c1,2018,1
辽宁,210000,3c974920a76ac9c1,2018,1
重庆,500000,3c974920a76ac9c1,2018,1
陕西,610000,3c974920a76ac9c1,2018,1
黑龙江,230000,3c974920a76ac9c1,2018,1
上海,310000,3d7554f1f56dd664,2018,1
云南,530000,3d7554f1f56dd664,2018,1
内蒙古,150000,3d7554f1f56dd664,2018,1
北京,110000,3d7554f1f56dd664,2018,1
四川,510000,3d7554f1f56dd664,2018,1
安徽,340000,3d7554f1f56dd664,2018,1
山东,370000,3d7554f1f56dd664,2018,1
山西,140000,3d7554f1f56dd664,2018,1
广东,440000,3d7554f1f56dd664,2018,1
广西,450000,3d7554f1f56dd664,2018,1
江苏,320000,3d7554f1f56dd664,2018,1
江西,360000,3d7554f1f56dd664,2018,1
河北,130000,3d7554f1f56dd664,2018,1
河南,410000,3d7554f1f56dd664,2018,1
浙江,330000,3d7554f1f56dd664,2018,1
湖北,420000,3d7554f1f56dd664,2018,1
湖南,430000,3d7554f1f56dd664,2018,1
福建,350000,3d7554f1f56dd664,2018,1
辽宁,210000,3d7554f1f56dd664,2018,1
重庆,500000,3d7554f1f56dd664,2018,1
陕西,610000,3d7554f1f56dd664,2018,1
黑龙江,230000,3d7554f1f56dd664,2018,1
上海,310000,2d0d2c3403909fdb,2018,1
云南,530000,2d0d2c3403909fdb,2018,1
内蒙古,150000,2d0d2c3403909fdb,2018,1
北京,110000,2d0d2c3403909fdb,2018,1
四川,510000,2d0d2c3403909fdb,2018,1
安徽,340000,2d0d2c3403909fdb,2018,1
山东,370000,2d0d2c3403909fdb,2018,1
山西,140000,2d0d2c3403909fdb,2018,1
广东,440000,2d0d2c3403909fdb,2018,1
广西,450000,2d0d2c3403909fdb,2018,1
江苏,320000,2d0d2c3403909fdb,2018,1
江西,360000,2d0d2c3403909fdb,2018,1
河北,130000,2d0d2c3403909fdb,2018,1
河南,410000,2d0d2c3403909fdb,2018,1
浙江,330000,2d0d2c3403909fdb,2018,1
湖北,420000,2d0d2c3403909fdb,2018,1
湖南,430000,2d0d2c3403909fdb,2018,1
福建,350000,2d0d2c3403909fdb,2018,1
辽宁,210000,2d0d2c3403909fdb,2018,1
重庆,500000,2d0d2c3403909fdb,2018,1
陕西,610000,2d0d2c3403909fdb,2018,1
黑龙江,230000,2d0d2c3403909fdb,2018,1
上海,310000,a28bb927b6fcb33c,2018,1
云南,530000,a28bb927b6fcb33c,2018,1
内蒙古,150000,a28bb927b6fcb33c,2018,1
北京,110000,a28bb927b6fcb33c,2018,1
四川,510000,a28bb927b6fcb33c,2018,1
安徽,340000,a28bb927b6fcb33c,2018,1
山东,370000,a28bb927b6fcb33c,2018,1
山西,140000,a28bb927b6fcb33c,2018,1
广东,440000,a28bb927b6fcb33c,2018,1
广西,450000,a28bb927b6fcb33c,2018,1
江苏,320000,a28bb927b6fcb33c,2018,1
江西,360000,a28bb927b6fcb33c,2018,1
河北,130000,a28bb927b6fcb33c,2018,1
河南,410000,a28bb927b6fcb33c,2018,1
浙江,330000,a28bb927b6fcb33c,2018,1
湖北,420000,a28bb927b6fcb33c,2018,1
湖南,430000,a28bb927b6fcb33c,2018,1
福建,350000,a28bb927b6fcb33c,2018,1
辽宁,210000,a28bb927b6fcb33c,2018,1
重庆,500000,a28bb927b6fcb33c,2018,1
陕西,610000,a28bb927b6fcb33c,2018,1
黑龙江,230000,a28bb927b6fcb33c,2018,1
上海,310000,17bc272c93f19d56,2018,1
云南,530000,17bc272c93f19d56,2018,1
内蒙古,150000,17bc272c93f19d56,2018,1
北京,110000,17bc272c93f19d56,2018,1
四川,510000,17bc272c93f19d56,2018,1
安徽,340000,17bc272c93f19d56,2018,1
山东,370000,17bc272c93f19d56,2018,1
山西,140000,17bc272c93f19d56,2018,1
广东,440000,17bc272c93f19d56,2018,1
广西,450000,17bc272c93f19d56,2018,1
江苏,320000,17bc272c93f19d56,2018,1
江西,360000,17bc272c93f19d56,2018,1
河北,130000,17bc272c93f19d56,2018,1
河南,410000,17bc272c93f19d56,2018,1
浙江,330000,17bc272c93f19d56,2018,1
湖北,420000,17bc272c93f19d56,2018,1
湖南,430000,17bc272c93f19d56,2018,1
福建,350000,17bc272c93f19d56,2018,1
辽宁,210000,17bc272c93f19d56,2018,1
重庆,500000,17bc272c93f19d56,2018,1
陕西,610000,17bc272c93f19d56,2018,1
黑龙江,230000,17bc272c93f19d56,2018,1
上海,310000,2a2ab41f8f6ff1cb,2018,1
云南,530000,2a2ab41f8f6ff1cb,2018,1
内蒙古,150000,2a2ab41f8f6ff1cb,2018,1
北京,110000,2a2ab41f8f6ff1cb,2018,1
四川,510000,2a2ab41f8f6ff1cb,2018,1
安徽,340000,2a2ab41f8f6ff1cb,2018,1
山东,370000,2a2ab41f8f6ff1cb,2018,1
山西,140000,2a2ab41f8f6ff1cb,2018,1
广东,440000,2a2ab41f8f6ff1cb,2018,1
广西,450000,2a2ab41f8f6ff1cb,2018,1
江苏,320000,2a2ab41f8f6ff1cb,2018,1
江西,360000,2a2ab41f8f6ff1cb,2018,1
河北,130000,2a2ab41f8f6ff1cb,2018,1
河南,410000,2a2ab41f8f6ff1cb,2018,1
浙江,330000,2a2ab41f8f6ff1cb,2018,1
湖北,420000,2a2ab41f8f6ff1cb,2018,1
湖南,430000,2a2ab41f8f6ff1cb,2018,1
福建,350000,2a2ab41f8f6ff1cb,2018,1
辽宁,210000,2a2ab41f8f6ff1cb,2018,1
重庆,500000,2a2ab41f8f6ff1cb,2018,1
陕西,610000,2a2ab41f8f6ff1cb,2018,1
黑龙江,230000,2a2ab41f8f6ff1cb,2018,1
上海,310000,c06a2a387c0ee510,2018,1
云南,530000,c06a2a387c0ee510,2018,1
内蒙古,150000,c06a2a387c0ee510,2018,1
北京,110000,c06a2a387c0ee510,2018,1
四川,510000,c06a2a387c0ee510,2018,1
安徽,340000,c06a2a387c0ee510,2018,1
山东,370000,c06a2a387c0ee510,2018,1
山西,140000,c06a2a387c0ee510,2018,1
广东,440000,c06a2a387c0ee510,2018,1
广西,450000,c06a2a387c0ee510,2018,1
江苏,320000,c06a2a387c0ee510,2018,1
江西,360000,c06a2a387c0ee510,2018,1
