id,forecastVolum
1,258
2,331
3,167
4,263
5,427
6,184
7,484
8,224
9,1939
10,360
11,697
12,174
13,327
14,356
15,640
16,405
17,312
18,294
19,559
20,115
21,321
22,247
23,348
24,358
25,238
26,262
27,738
28,409
29,1053
30,329
31,6399
32,829
33,1438
34,469
35,763
36,785
37,1295
38,753
39,658
40,1101
41,1106
42,266
43,395
44,574
45,150
46,326
47,228
48,338
49,462
50,155
51,429
52,159
53,1532
54,213
55,467
56,153
57,378
58,385
59,445
60,295
61,281
62,134
63,415
64,176
65,284
66,220
67,120
68,229
69,115
70,99
71,397
72,247
73,350
74,148
75,2477
76,312
77,851
78,288
79,320
80,491
81,940
82,482
83,495
84,465
85,303
86,137
87,213
88,156
89,189
90,2820
91,459
92,80
93,1266
94,1508
95,2847
96,1587
97,1280
98,1938
99,1565
100,771
101,2613
102,3677
103,1075
104,1282
105,1444
106,424
107,897
108,245
109,1318
110,461
111,256
112,464
113,479
114,83
115,878
116,1022
117,1299
118,542
119,4277
120,614
121,1208
122,743
123,1526
124,1863
125,817
126,1039
127,1223
128,337
129,292
130,539
131,507
132,388
133,1151
134,172
135,172
136,1066
137,437
138,387
139,1155
140,300
141,984
142,131
143,1196
144,204
145,800
146,888
147,885
148,289
149,251
150,242
151,346
152,136
153,406
154,214
155,230
156,62
157,26
158,52
159,211
160,271
161,224
162,35
163,211
164,71
165,583
166,147
167,125
168,200
169,359
170,184
171,166
172,87
173,34
174,64
175,94
176,21
177,669
178,338
179,267
180,382
181,676
182,792
183,974
184,336
185,578
186,304
187,1231
188,802
189,625
190,941
191,815
192,996
193,981
194,409
195,263
196,349
197,348
198,152
199,558
200,264
201,228
202,71
203,1155
204,1176
205,1585
206,400
207,684
208,510
209,1822
210,965
211,1031
212,1472
213,1237
214,927
215,925
216,644
217,235
218,301
219,490
220,128
221,94
222,269
223,189
224,184
225,1182
226,600
227,1502
228,437
229,1068
230,460
231,861
232,560
233,1076
234,1883
235,1144
236,852
237,700
238,484
239,167
240,404
241,783
242,88
243,61
244,448
245,315
246,70
247,845
248,545
249,1183
250,694
251,783
252,474
253,578
254,512
255,1380
256,1345
257,582
258,561
259,710
260,310
261,319
262,354
263,821
264,225
265,83
266,716
267,421
268,60
269,1382
270,904
271,1646
272,603
273,790
274,544
275,1040
276,712
277,1523
278,1749
279,726
280,886
281,764
282,374
283,236
284,384
285,667
286,393
287,299
288,1098
289,719
290,199
291,1950
292,1862
293,2806
294,725
295,1507
296,738
297,2390
298,1102
299,1901
300,4079
301,1344
302,1647
303,1963
304,652
305,732
306,789
307,839
308,563
309,527
310,388
311,396
312,611
313,713
314,688
315,1151
316,534
317,389
318,155
319,1306
320,334
321,1159
322,902
323,584
324,339
325,427
326,241
327,172
328,378
329,473
330,80
331,54
332,869
333,582
334,199
335,1552
336,347
337,1874
338,704
339,1174
340,386
341,565
342,346
343,1915
344,1285
345,501
346,420
347,1032
348,406
349,703
350,196
351,574
352,928
353,933
354,790
355,422
356,273
357,1185
358,1472
359,1988
360,879
361,736
362,438
363,2035
364,987
365,1906
366,1932
367,1144
368,818
369,1091
370,629
371,369
372,696
373,774
374,264
375,262
376,584
377,543
378,85
379,1120
380,664
381,2004
382,1003
383,470
384,227
385,998
386,388
387,1588
388,1282
389,530
390,265
391,491
392,313
393,453
394,288
395,663
396,442
397,270
398,411
399,461
400,817
401,1083
402,641
403,1493
404,432
405,811
406,237
407,1130
408,356
409,1384
410,1376
411,680
412,602
413,503
414,471
415,583
416,397
417,489
418,737
419,343
420,263
421,85
422,113
423,320
424,392
425,549
426,74
427,443
428,135
429,617
430,312
431,349
432,336
433,764
434,335
435,389
436,218
437,136
438,172
439,142
440,111
441,361
442,460
443,413
444,289
445,1325
446,887
447,1349
448,445
449,615
450,301
451,1394
452,473
453,1593
454,1561
455,1116
456,702
457,605
458,486
459,508
460,352
461,502
462,444
463,331
464,162
465,167
466,273
467,455
468,371
469,925
470,148
471,383
472,110
473,986
474,203
475,810
476,698
477,825
478,245
479,219
480,187
481,164
482,79
483,210
484,153
485,29
486,49
487,54
488,28
489,149
490,304
491,530
492,168
493,86
494,72
495,188
496,71
497,425
498,271
499,65
500,142
501,146
502,42
503,99
504,67
505,106
506,75
507,611
508,216
509,97
510,585
511,564
512,324
513,526
514,120
515,1088
516,150
517,1391
518,243
519,391
520,339
521,1274
522,354
523,324
524,458
525,247
526,232
527,230
528,77
529,295
530,188
531,94
532,220
533,411
534,224
535,327
536,102
537,574
538,126
539,769
540,156
541,234
542,217
543,689
544,295
545,231
546,259
547,123
548,151
549,153
550,62
551,619
552,312
553,129
554,776
555,681
556,329
557,578
558,157
559,1075
560,177
561,1156
562,237
563,352
564,376
565,978
566,478
567,336
568,419
569,258
570,265
571,278
572,93
573,107
574,36
575,20
576,85
577,94
578,67
579,132
580,20
581,118
582,27
583,248
584,27
585,92
586,64
587,252
588,57
589,51
590,35
591,35
592,24
593,48
594,16
595,573
596,249
597,177
598,475
599,642
600,472
601,621
602,162
603,739
604,144
605,1193
606,279
607,456
608,431
609,1238
610,455
611,423
612,302
613,383
614,228
615,354
616,155
617,300
618,131
619,102
620,193
621,254
622,221
623,372
624,96
625,384
626,97
627,584
628,151
629,233
630,223
631,532
632,297
633,222
634,199
635,114
636,94
637,134
638,59
639,475
640,252
641,168
642,454
643,576
644,355
645,573
646,129
647,972
648,164
649,992
650,262
651,334
652,363
653,907
654,481
655,412
656,288
657,306
658,210
659,276
660,118
661,488
662,247
663,66
664,468
665,427
666,376
667,476
668,74
669,986
670,173
671,1011
672,205
673,383
674,369
675,1231
676,319
677,376
678,350
679,181
680,223
681,220
682,62
683,220
684,612
685,166
686,71
687,412
688,1097
689,1686
690,472
691,2272
692,1697
693,1210
694,476
695,1087
696,3344
697,645
698,564
699,702
700,346
701,399
702,161
703,626
704,374
705,356
706,176
707,233
708,61
709,526
710,294
711,633
712,137
713,170
714,86
715,818
716,225
717,446
718,408
719,366
720,155
721,287
722,163
723,58
724,96
725,402
726,64
727,323
728,136
729,55
730,92
731,216
732,151
733,277
734,63
735,126
736,35
737,377
738,82
739,175
740,188
741,269
742,93
743,133
744,80
745,43
746,76
747,130
748,28
749,169
750,80
751,88
752,392
753,451
754,189
755,545
756,147
757,1285
758,278
759,597
760,243
761,338
762,284
763,546
764,481
765,377
766,488
767,208
768,302
769,152
770,150
771,184
772,324
773,471
774,558
775,811
776,220
777,676
778,272
779,1566
780,307
781,568
782,303
783,724
784,657
785,576
786,1122
787,532
788,365
789,552
790,476
791,512
792,324
793,73
794,133
795,97
796,42
797,276
798,142
799,241
800,96
801,501
802,136
803,394
804,201
805,191
806,276
807,356
808,191
809,244
810,165
811,100
812,119
813,106
814,67
815,279
816,250
817,320
818,240
819,840
820,534
821,1561
822,652
823,5306
824,1311
825,1457
826,870
827,1209
828,1333
829,1030
830,779
831,1169
832,856
833,977
834,425
835,393
836,519
837,180
838,343
839,275
840,286
841,358
842,363
843,860
844,412
845,1853
846,308
847,590
848,312
849,653
850,840
851,583
852,982
853,572
854,520
855,515
856,168
857,378
858,400
859,170
860,334
861,240
862,129
863,422
864,407
865,641
866,256
867,1642
868,313
869,875
870,309
871,534
872,710
873,798
874,724
875,402
876,452
877,336
878,157
879,256
880,239
881,163
882,17
883,23
884,200
885,41
886,57
887,276
888,90
889,696
890,24
891,335
