id,forecastVolum
1,266
2,331
3,171
4,311
5,402
6,180
7,474
8,220
9,2082
10,360
11,701
12,178
13,327
14,347
15,645
16,409
17,301
18,293
19,591
20,117
21,321
22,264
23,358
24,376
25,250
26,297
27,722
28,428
29,1043
30,338
31,6916
32,811
33,1623
34,491
35,803
36,826
37,1409
38,770
39,649
40,1135
41,1258
42,288
43,402
44,595
45,154
46,311
47,244
48,369
49,443
50,155
51,418
52,170
53,1586
54,204
55,462
56,148
57,408
58,375
59,432
60,296
61,277
62,135
63,456
64,179
65,288
66,244
67,126
68,245
69,130
70,96
71,372
72,248
73,313
74,150
75,2852
76,317
77,871
78,290
79,340
80,479
81,1016
82,488
83,491
84,535
85,323
86,129
87,219
88,165
89,197
90,3104
91,481
92,89
93,1332
94,1550
95,3087
96,1679
97,1454
98,1839
99,1851
100,770
101,3278
102,3921
103,1285
104,1267
105,1404
106,477
107,913
108,254
109,1527
110,478
111,277
112,491
113,479
114,84
115,935
116,1116
117,1464
118,570
119,4158
120,606
121,1304
122,752
123,1766
124,2170
125,861
126,1077
127,1194
128,363
129,331
130,541
131,517
132,405
133,1218
134,204
135,184
136,1316
137,389
138,396
139,1280
140,307
141,1083
142,137
143,1230
144,210
145,808
146,876
147,867
148,291
149,244
150,238
151,379
152,145
153,405
154,245
155,267
156,71
157,37
158,61
159,229
160,326
161,242
162,50
163,243
164,78
165,703
166,172
167,146
168,232
169,434
170,209
171,187
172,113
173,44
174,73
175,110
176,25
177,759
178,336
179,278
180,424
181,778
182,847
183,929
184,364
185,695
186,308
187,1280
188,750
189,643
190,928
191,871
192,968
193,941
194,429
195,271
196,375
197,387
198,155
199,728
200,336
201,282
202,132
203,1264
204,1332
205,1952
206,579
207,1044
208,620
209,2599
210,1197
211,1328
212,1944
213,1582
214,1051
215,910
216,804
217,311
218,389
219,620
220,168
221,97
222,326
223,218
224,334
225,1200
226,692
227,1619
228,602
229,1099
230,597
231,925
232,674
233,1191
234,1951
235,1423
236,866
237,780
238,567
239,196
240,463
241,1010
242,119
243,70
244,441
245,318
246,71
247,826
248,560
249,1221
250,766
251,885
252,510
253,614
254,520
255,1479
256,1337
257,597
258,548
259,691
260,304
261,353
262,349
263,861
264,255
265,105
266,796
267,488
268,77
269,1460
270,1012
271,1845
272,712
273,830
274,591
275,1162
276,717
277,1796
278,1816
279,781
280,920
281,804
282,439
283,293
284,404
285,708
286,496
287,298
288,1078
289,773
290,227
291,2112
292,1848
293,2826
294,709
295,1644
296,756
297,2557
298,1164
299,2031
300,4179
301,1550
302,1599
303,1932
304,679
305,745
306,804
307,819
308,626
309,573
310,427
311,450
312,765
313,702
314,747
315,1159
316,624
317,440
318,158
319,1347
320,316
321,1338
322,962
323,574
324,338
325,430
326,264
327,197
328,398
329,532
330,99
331,83
332,911
333,641
334,200
335,1775
336,364
337,1971
338,775
339,1396
340,437
341,628
342,335
343,2250
344,1362
345,493
346,393
347,974
348,393
349,866
350,179
351,597
352,1134
353,1377
354,971
355,483
356,292
357,1461
358,1546
359,2091
360,1033
361,824
362,450
363,2399
364,1028
365,2273
366,2317
367,1206
368,882
369,1175
370,711
371,440
372,738
373,945
374,290
375,245
376,601
377,608
378,80
379,1103
380,798
381,2506
382,1141
383,495
384,249
385,1102
386,398
387,2178
388,1545
389,468
390,240
391,417
392,285
393,615
394,270
395,763
396,506
397,300
398,414
399,509
400,968
401,1098
402,663
403,1529
404,453
405,825
406,250
407,1206
408,359
409,1652
410,1484
411,727
412,594
413,504
414,440
415,689
416,416
417,514
418,858
419,351
420,291
421,107
422,140
423,434
424,447
425,572
426,81
427,490
428,142
429,726
430,323
431,402
432,404
433,778
434,404
435,443
436,248
437,145
438,200
439,174
440,129
441,407
442,478
443,448
444,287
445,1565
446,1018
447,1509
448,498
449,771
450,313
451,1727
452,513
453,2097
454,1786
455,1309
456,735
457,634
458,497
459,596
460,382
461,529
462,516
463,517
464,182
465,198
466,356
467,517
468,446
469,1104
470,177
471,454
472,137
473,1299
474,217
475,990
476,796
477,1156
478,284
479,257
480,224
481,186
482,101
483,255
484,192
485,38
486,49
487,65
488,38
489,144
490,304
491,524
492,209
493,82
494,71
495,179
496,70
497,485
498,276
499,65
500,141
501,151
502,41
503,135
504,70
505,111
506,83
507,665
508,223
509,99
510,617
511,604
512,344
513,543
514,131
515,1137
516,156
517,1445
518,250
519,377
520,333
521,1351
522,360
523,322
524,464
525,261
526,249
527,238
528,93
529,301
530,174
531,94
532,223
533,382
534,213
535,304
536,100
537,552
538,120
539,724
540,150
541,215
542,203
543,659
544,272
545,214
546,252
547,128
548,142
549,143
550,66
551,675
552,298
553,132
554,812
555,648
556,320
557,570
558,159
559,1148
560,176
561,1192
562,229
563,352
564,358
565,1061
566,454
567,322
568,421
569,276
570,254
571,269
572,105
573,134
574,47
575,23
576,96
577,117
578,84
579,146
580,25
581,143
582,30
583,312
584,36
585,106
586,81
587,315
588,68
589,61
590,44
591,44
592,34
593,58
594,20
595,553
596,225
597,167
598,465
599,592
600,421
601,554
602,145
603,749
604,135
605,1214
606,245
607,438
608,399
609,1318
610,402
611,365
612,275
613,380
614,206
615,309
616,150
617,328
618,153
619,116
620,195
621,277
622,222
623,387
624,99
625,464
626,105
627,702
628,155
629,257
630,216
631,741
632,295
633,218
634,211
635,119
636,101
637,139
638,67
639,464
640,259
641,171
642,567
643,531
644,339
645,557
646,129
647,1022
648,175
649,981
650,251
651,360
652,367
653,1023
654,470
655,379
656,277
657,297
658,202
659,274
660,118
661,536
662,262
663,72
664,496
665,490
666,388
667,498
668,83
669,1111
670,169
671,1151
672,207
673,427
674,377
675,1418
676,324
677,377
678,347
679,216
680,240
681,225
682,77
683,217
684,652
685,179
686,86
687,444
688,1110
689,1908
690,524
691,2279
692,1750
693,1446
694,487
695,1247
696,3852
697,700
698,566
699,801
700,336
701,464
702,165
703,664
704,416
705,375
706,199
707,263
708,64
709,549
710,306
711,648
712,153
713,178
714,84
715,839
716,242
717,497
718,457
719,420
720,167
721,311
722,188
723,62
724,111
725,449
726,69
727,459
728,150
729,63
730,110
731,215
732,144
733,267
734,61
735,125
736,40
737,371
738,78
739,185
740,201
741,260
742,100
743,126
744,89
745,49
746,82
747,128
748,36
749,202
750,80
751,101
752,374
753,439
754,206
755,662
756,171
757,1463
758,272
759,694
760,238
761,432
762,301
763,612
764,500
765,420
766,547
767,230
768,327
769,165
770,159
771,186
772,328
773,459
774,530
775,769
776,219
777,659
778,273
779,1652
780,300
781,565
782,297
783,736
784,641
785,564
786,1136
787,544
788,365
789,552
790,472
791,486
792,312
793,71
794,140
795,100
796,43
797,281
798,160
799,240
800,92
801,526
802,151
803,454
804,227
805,209
806,318
807,386
808,184
809,264
810,169
811,106
812,119
813,97
814,68
815,264
816,275
817,376
818,230
819,911
820,560
821,1838
822,821
823,5872
824,1607
825,1960
826,1096
827,1669
828,1588
829,1296
830,915
831,1358
832,982
833,1113
834,457
835,366
836,645
837,203
838,355
839,296
840,303
841,367
842,348
843,835
844,383
845,1925
846,290
847,660
848,313
849,719
850,813
851,597
852,1001
853,517
854,486
855,586
856,169
857,366
858,419
859,171
860,354
861,269
862,127
863,409
864,420
865,667
866,272
867,1753
868,312
869,917
870,340
871,622
872,715
873,827
874,776
875,406
876,492
877,370
878,167
879,266
880,265
881,168
882,17
883,23
884,224
885,42
886,62
887,272
888,92
889,691
890,23
891,320
892,36
893,249
894,154
895,347
896,58
897,37
898,69
899,107
900,21
901,34
902,42
903,186
904,309
905,139
906,132
907,476
908,278
909,562
910,223
911,2348
912,288
913,637
914,303
915,468
916,457
917,739
918,530
919,414
920,561
921,309
922,168
923,179
924,166
925,231
926,135
927,185
928,355
929,357
930,300
931,745
932,291
933,1774
934,143
935,777
936,213
937,625
938,519
939,1121
940,465
941,435
942,410
943,668
944,135
945,201
946,314
947,232
948,66
949,54
950,342
951,272
952,112
953,217
954,45
955,383
956,46
957,234
958,70
959,152
960,129
961,127
962,132
963,145
964,99
965,91
966,124
967,140
968,60
969,106
970,84
971,68
972,28
973,189
974,368
975,384
976,98
977,355
978,59
979,583
980,280
981,272
982,507
983,577
984,231
985,195
986,156
987,48
988,41
989,84
990,33
991,40
992,73
993,50
994,45
995,131
996,160
997,338
998,27
999,76
1000,32
1001,282
1002,121
1003,216
1004,267
1005,265
1006,179
1007,198
1008,71
1009,62
1010,32
1011,100
1012,40
1013,248
1014,108
1015,54
1016,116
1017,645
1018,607
1019,628
1020,116
1021,696
1022,148
1023,1536
1024,434
1025,395
1026,1363
1027,984
1028,434
1029,416
1030,370
1031,120
1032,262
1033,211
1034,68
1035,30
1036,146
1037,253
1038,28
1039,384
1040,205
1041,979
1042,530
1043,272
1044,208
1045,318
1046,145
1047,1045
1048,629
1049,399
1050,151
1051,216
1052,184
1053,470
1054,68
1055,212
1056,260
1057,258
1058,284
1059,187
1060,195
1061,593
1062,770
1063,672
1064,185
1065,520
1066,149
1067,927
1068,538
1069,724
1070,1144
1071,1113
1072,516
1073,438
1074,279
1075,128
1076,213
1077,300
1078,86
1079,152
1080,146
1081,40
1082,53
1083,264
1084,222
1085,376
1086,62
1087,295
1088,107
1089,595
1090,146
1091,364
1092,318
1093,349
1094,148
1095,141
1096,210
1097,51
1098,108
1099,127
1100,36
1123,325
1124,228
1125,49
1126,74
1127,572
1128,589
1129,438
1130,67
1131,976
1132,214
1133,1054
1134,294
1135,364
1136,522
1137,845
1138,410
1139,356
1140,482
1141,88
1142,325
1143,178
1144,55
1145,295
1146,350
1147,194
1148,380
1149,524
1150,255
1151,602
1152,151
1153,916
1154,187
1155,551
1156,175
1157,529
1158,518
1159,381
1160,319
1161,380
1162,188
1163,214
1164,368
1165,257
1166,239
1167,194
1168,271
1169,160
1170,93
1171,566
1172,990
1173,849
1174,270
1175,554
1176,386
1177,1027
1178,411
1179,674
1180,1535
1181,460
1182,389
1183,705
1184,389
1185,122
1186,354
1187,621
1188,86
1189,38
1190,86
1191,143
1192,34
1193,154
1194,171
1195,346
1196,83
1197,49
1198,28
1199,106
1200,122
1201,205
1202,311
1203,62
1204,169
1205,462
1206,25
1207,54
1208,100
1209,286
1210,78
1211,91
1212,379
1213,341
1214,89
1215,1010
1216,370
1217,617
1218,611
1219,502
1220,214
1221,577
1222,301
1223,1056
1224,860
1225,333
1226,271
1227,482
1228,166
1229,141
1230,571
1231,610
1232,124
1233,279
1234,724
1235,673
1236,203
1237,1626
1238,730
1239,866
1240,496
1241,978
1242,330
1243,1193
1244,430
1245,1110
1246,1430
1247,922
1248,588
1249,1020
1250,386
1251,222
1252,1402
1253,788
1254,205
1255,25
1256,688
1257,56
1258,92
1259,409
1260,157
1261,334
1262,102
1263,316
1264,35
1265,456
1266,72
1267,466
1268,576
1269,246
1270,315
1271,246
1272,86
1273,148
1274,409
1275,138
1276,30
1277,60
1278,131
1279,87
1280,62
1281,472
1282,134
1283,280
1284,128
1285,214
1286,122
1287,286
1288,100
1289,462
1290,385
1291,148
1292,57
1293,198
1294,85
1295,29
1296,528
1297,307
1298,17
1299,468
1300,62
1301,75
1302,69
1303,356
1304,358
1305,297
1306,136
1307,262
1308,129
1309,634
1310,274
1311,243
1312,617
1313,254
1314,271
1315,280
1316,104
1317,44
1318,63
1319,142
1320,21
1321,106
1322,102
1323,66
1324,60
1325,243
1326,164
1327,135
1328,35
1329,484
1330,176
1331,343
1332,90
1333,112
1334,119
1335,320
1336,202
1337,307
1338,106
1339,80
1340,129
1341,233
1342,54
1343,183
1344,224
1345,116
1346,247
1347,253
1348,96
1349,292
1350,142
1351,1694
1352,252
1353,560
1354,98
1355,230
1356,231
1357,478
1358,254
1359,191
1360,206
1361,502
1362,75
1363,215
1364,198
1365,282
1366,317
1367,207
1368,242
1369,506
1370,321
1371,825
1372,284
1373,5634
1374,663
1375,1355
1376,358
1377,727
1378,647
1379,1305
1380,562
1381,489
1382,986
1383,1254
1384,206
1385,315
1386,577
1387,100
1388,221
1389,166
1390,312
1391,270
1392,88
1393,268
1394,111
1395,1196
1396,129
1397,342
1398,80
1399,298
1400,244
1401,318
1402,182
1403,173
1404,86
1405,374
1406,110
1407,189
1408,177
1409,85
1410,164
1411,92
1412,69
1413,254
1414,166
1415,230
1416,99
1417,2480
1418,264
1419,789
1420,197
1421,321
1422,350
1423,916
1424,342
1425,328
1426,406
1427,304
1428,81
1429,153
