id,forecastVolum
1,258
2,357
3,155
4,321
5,407
6,185
7,473
8,195
9,2276
10,352
11,684
12,179
13,295
14,362
15,637
16,426
17,298
18,265
19,585
20,128
21,279
22,241
23,328
24,307
25,212
26,217
27,632
28,428
29,950
30,307
31,6786
32,692
33,1474
34,408
35,707
36,697
37,1271
38,684
39,585
40,970
41,1107
42,234
43,368
44,532
45,177
46,332
47,250
48,457
49,498
50,174
51,441
52,182
53,1596
54,217
55,517
56,151
57,431
58,396
59,442
60,323
61,273
62,139
63,526
64,189
65,305
66,285
67,135
68,193
69,133
70,56
71,292
72,226
73,302
74,143
75,2021
76,295
77,784
78,223
79,335
80,394
81,902
82,389
83,368
84,336
85,253
86,106
87,187
88,147
89,185
90,3937
91,536
92,106
93,1631
94,1906
95,4071
96,1833
97,1504
98,2629
99,2312
100,1059
101,4250
102,5175
103,1460
104,1497
105,1843
106,487
107,987
108,275
109,1896
110,508
111,345
112,541
113,527
114,108
115,1171
116,1324
117,1658
118,561
119,6711
120,689
121,1538
122,895
123,2113
124,2705
125,945
126,1225
127,1388
128,373
129,323
130,608
131,611
132,409
133,1234
134,226
135,178
136,1273
137,368
138,398
139,1220
140,312
141,1158
142,144
143,1161
144,220
145,828
146,894
147,1011
148,301
149,233
150,260
151,387
152,170
153,349
154,241
155,220
156,68
157,13
158,32
159,188
160,325
161,228
162,41
163,193
164,73
165,623
166,159
167,115
168,224
169,308
170,165
171,148
172,87
173,31
174,65
175,98
176,7
177,709
178,301
179,230
180,362
181,777
182,840
183,756
184,310
185,761
186,247
187,1268
188,764
189,579
190,854
191,747
192,911
193,862
194,361
195,207
196,301
197,280
198,135
199,632
200,243
201,244
202,0
203,995
204,1437
205,1550
206,572
207,774
208,558
209,2486
210,882
211,1193
212,1655
213,1064
214,818
215,781
216,657
217,224
218,280
219,527
220,113
221,108
222,330
223,244
224,99
225,1162
226,746
227,1438
228,666
229,1039
230,714
231,852
232,780
233,1237
234,2256
235,1323
236,852
237,939
238,595
239,190
240,513
241,1110
242,124
243,63
244,460
245,340
246,33
247,798
248,600
249,1152
250,749
251,818
252,526
253,588
254,633
255,1357
256,1439
257,588
258,616
259,765
260,277
261,394
262,367
263,852
264,253
265,113
266,996
267,562
268,40
269,1548
270,1239
271,1681
272,736
273,997
274,703
275,1246
276,999
277,1681
278,2075
279,849
280,1127
281,1036
282,466
283,280
284,479
285,951
286,488
287,313
288,1197
289,802
290,170
291,2177
292,2226
293,2802
294,764
295,1641
296,804
297,2588
298,1198
299,2341
300,4880
301,1333
302,1590
303,2136
304,634
305,739
306,769
307,844
308,504
309,538
310,470
311,449
312,775
313,755
314,846
315,1215
316,658
317,449
318,146
319,1367
320,342
321,1417
322,1011
323,632
324,361
325,477
326,297
327,202
328,427
329,560
330,82
331,4
332,836
333,466
334,188
335,1247
336,317
337,1476
338,628
339,1142
340,345
341,455
342,306
343,1515
344,1192
345,380
346,413
347,941
348,369
349,653
350,164
351,431
352,751
353,1038
354,642
355,278
356,88
357,1215
358,1098
359,1354
360,559
361,593
362,352
363,1519
364,649
365,1406
366,2235
367,974
368,708
369,834
370,443
371,321
372,566
373,550
374,142
375,171
376,588
377,521
378,12
379,1027
380,783
381,1945
382,1150
383,337
384,206
385,1028
386,412
387,1624
388,1455
389,390
390,195
391,372
392,215
393,523
394,216
395,624
396,345
397,373
398,490
399,593
400,1119
401,1367
402,763
403,1678
404,530
405,1022
406,308
407,1454
408,408
409,1666
410,1551
411,836
412,656
413,598
414,506
415,783
416,463
417,599
418,932
419,335
420,290
421,77
422,67
423,401
424,455
425,603
426,48
427,449
428,123
429,744
430,357
431,354
432,392
433,753
434,369
435,415
436,234
437,122
438,138
439,136
440,90
441,342
442,377
443,345
444,146
445,1220
446,798
447,981
448,318
449,523
450,252
451,1064
452,334
453,1447
454,1410
455,951
456,608
457,490
458,342
459,452
460,302
461,352
462,319
463,387
464,155
465,152
466,263
467,424
468,397
469,820
470,138
471,342
472,133
473,1010
474,201
475,707
476,671
477,824
478,223
479,233
480,188
481,168
482,66
483,197
484,161
485,0
486,10
487,10
488,1
489,121
490,258
491,393
492,158
493,22
494,45
495,153
496,29
497,398
498,234
499,7
500,132
501,141
502,0
503,71
504,23
505,69
506,50
507,736
508,268
509,111
510,754
511,758
512,414
513,673
514,152
515,1304
516,181
517,1581
518,282
519,394
520,366
521,1385
522,402
523,354
524,593
525,283
526,288
527,279
528,94
529,304
530,185
531,100
532,247
533,411
534,227
535,313
536,102
537,582
538,142
539,721
540,166
541,206
542,211
543,637
544,291
545,225
546,253
547,139
548,143
549,150
550,55
551,765
552,335
553,154
554,1007
555,773
556,360
557,682
558,191
559,1308
560,201
561,1287
562,261
563,403
564,402
565,1182
566,543
567,346
568,502
569,318
570,312
571,300
572,127
573,110
574,33
575,1
576,103
577,120
578,92
579,145
580,5
581,148
582,14
583,342
584,19
585,118
586,85
587,238
588,43
589,36
590,18
591,26
592,14
593,26
