id,forecastVolum
1,195
2,236
3,122
4,190
5,257
6,126
7,320
8,150
9,2623
10,249
11,537
12,123
13,236
14,218
15,517
16,275
17,221
18,237
19,523
20,91
21,239
22,195
23,293
24,309
25,245
26,205
27,617
28,408
29,1113
30,339
31,6670
32,763
33,1868
34,401
35,860
36,806
37,1752
38,765
39,542
40,1510
41,1647
42,212
43,377
44,615
45,95
46,225
47,163
48,248
49,253
50,92
51,278
52,117
53,1580
54,148
55,306
56,89
57,262
58,224
59,313
60,174
61,162
62,92
63,378
64,103
65,168
66,199
67,131
68,232
69,135
70,90
71,328
72,238
73,349
74,152
75,3317
76,386
77,850
78,275
79,364
80,418
81,1270
82,512
83,452
84,544
85,419
86,130
87,211
88,136
89,163
90,3051
91,465
92,90
93,1236
94,1404
95,3173
96,1550
97,1604
98,1868
99,1858
100,773
101,3450
102,3474
103,1279
104,1040
105,1210
106,382
107,846
108,222
109,1431
110,498
111,245
112,442
113,544
114,74
115,894
116,1021
117,1914
118,558
119,5114
120,567
121,1680
122,830
123,2466
124,2654
125,1077
126,1133
127,1422
128,356
129,329
130,521
131,542
132,402
133,1038
134,155
135,120
136,1114
137,235
138,263
139,1100
140,221
141,862
142,95
143,1130
144,151
145,597
146,647
147,828
148,191
149,148
150,165
151,256
152,104
153,255
154,162
155,406
156,71
157,39
158,59
159,256
160,460
161,284
162,49
163,351
164,98
165,729
166,188
167,161
168,316
169,553
170,243
171,195
172,124
173,46
174,72
175,111
176,24
177,853
178,283
179,290
180,323
181,952
182,860
183,1035
184,389
185,927
186,284
187,1397
188,886
189,741
190,1081
191,997
192,1045
193,1037
194,378
195,259
196,319
197,371
198,157
199,550
200,306
201,258
202,82
203,1678
204,1811
205,2394
206,560
207,1450
208,549
209,3316
210,1274
211,1605
212,2223
213,1856
214,1091
215,1072
216,736
217,323
218,335
219,466
220,126
221,88
222,335
223,229
224,151
225,1068
226,734
227,1686
228,507
229,1063
230,638
231,914
232,838
233,1153
234,1969
235,1492
236,656
237,829
238,790
239,188
240,487
241,1261
242,92
243,55
244,418
245,279
246,57
247,679
248,540
249,1216
250,640
251,823
252,513
253,612
254,521
255,1325
256,1308
257,587
258,544
259,686
260,265
261,346
262,361
263,712
264,211
265,80
266,825
267,405
268,53
269,1128
270,883
271,1707
272,685
273,677
274,465
275,974
276,697
277,1807
278,1587
279,821
280,716
281,862
282,334
283,230
284,333
285,656
286,432
287,235
288,1249
289,861
290,192
291,2318
292,1883
293,3551
294,864
295,2157
296,595
297,2920
298,1049
299,2525
300,3748
301,2183
302,1518
303,1811
304,789
305,813
306,670
307,890
308,678
309,460
310,357
311,451
312,619
313,598
314,784
315,1238
316,560
317,396
318,114
319,1535
320,306
321,1504
322,960
323,544
324,259
325,393
326,210
327,125
328,315
329,502
330,70
331,43
332,1240
333,869
334,220
335,2247
336,393
337,2435
338,1007
339,1774
340,369
341,730
342,350
343,2619
344,1849
345,544
346,451
347,1218
348,459
349,1220
350,198
351,742
352,1608
353,914
354,1062
355,530
356,283
357,1819
358,1895
359,2552
360,1425
361,1294
362,477
363,3105
364,1364
365,2779
366,3573
367,1585
368,1331
369,1652
370,1065
371,410
372,727
373,1379
374,268
375,213
376,579
377,665
378,94
379,1078
