id,forecastVolum
1,278
2,345
3,183
4,329
5,452
6,210
7,504
8,267
9,1948
10,389
11,741
12,183
13,343
14,385
15,662
16,431
17,336
18,306
19,564
20,122
21,355
22,240
23,367
24,381
25,239
26,325
27,785
28,402
29,1231
30,362
31,5296
32,936
33,1821
34,512
35,829
36,878
37,1510
38,835
39,715
40,1182
41,1228
42,270
43,419
44,601
45,159
46,331
47,250
48,399
49,502
50,162
51,444
52,161
53,1582
54,224
55,474
56,182
57,412
58,405
59,456
60,333
61,319
62,141
63,428
64,200
65,311
66,212
67,98
68,222
69,121
70,110
71,410
72,217
73,373
74,140
75,3136
76,307
77,855
78,314
79,321
80,519
81,950
82,487
83,528
84,508
85,282
86,135
87,207
88,138
89,167
90,2604
91,470
92,84
93,1143
94,1536
95,2535
96,1393
97,1191
98,1560
99,1501
100,708
101,2435
102,2718
103,965
104,1298
105,1349
106,409
107,892
108,217
109,800
110,431
111,242
112,434
113,433
114,105
115,773
116,857
117,1133
118,506
119,3129
120,623
121,982
122,709
123,1283
124,1599
125,723
126,919
127,1086
128,317
129,314
130,475
131,479
132,406
133,1122
134,149
135,182
136,1124
137,487
138,401
139,1184
140,340
141,1027
142,145
143,1253
144,199
145,914
146,1013
147,922
148,314
149,279
150,257
151,350
152,144
153,438
154,239
155,192
156,68
157,29
158,59
159,254
160,263
161,206
162,36
163,260
164,77
165,556
166,145
167,126
168,201
169,301
170,193
171,172
172,89
173,37
174,63
175,105
176,19
177,647
178,366
179,325
180,421
181,582
182,852
183,1099
184,351
185,476
186,313
187,1377
188,888
189,656
190,1084
191,900
192,1149
193,1065
194,440
195,303
196,359
197,370
198,181
199,531
200,281
201,265
202,100
203,1315
204,1308
205,2019
206,397
207,764
208,564
209,2202
210,1058
211,1101
212,1910
213,1434
214,1020
215,1089
216,672
217,262
218,354
219,503
220,157
221,85
222,202
223,171
224,221
225,1168
226,527
227,1527
228,331
229,1117
230,365
231,831
232,415
233,1038
234,1839
235,1245
236,868
237,587
238,442
239,123
240,277
241,649
242,80
243,66
244,433
245,330
246,91
247,957
248,561
249,1214
250,807
251,840
252,408
253,560
254,458
255,1361
256,1416
257,543
258,585
259,634
260,328
261,290
262,327
263,860
264,219
265,80
266,646
267,459
268,77
269,1536
270,895
271,1756
272,630
273,822
274,482
275,1079
276,548
277,1630
278,1687
279,667
280,864
281,671
282,350
283,260
284,335
285,648
286,438
287,239
288,900
289,763
290,172
291,1835
292,1565
293,2903
294,729
295,1341
296,648
297,2067
298,977
299,1941
300,3150
301,1389
302,1540
303,1789
304,592
305,753
306,689
307,766
308,566
309,623
310,382
311,422
312,676
313,759
314,735
315,1229
316,595
317,407
318,181
319,1390
320,337
321,1260
322,962
323,609
324,351
325,463
326,228
327,165
328,420
329,485
330,96
331,68
332,820
333,641
334,188
335,1983
336,332
337,2299
338,768
339,1311
340,400
341,572
342,329
343,2328
344,1446
345,488
346,394
347,1030
348,396
349,673
350,178
351,561
352,1072
353,1091
354,907
355,443
356,260
357,1345
358,1817
359,2460
360,996
361,783
362,415
363,2717
364,1112
365,2540
366,2460
367,1276
368,972
369,1365
370,700
371,346
372,693
373,882
374,283
375,223
376,511
377,552
378,83
379,1244
380,666
381,2194
382,1034
383,494
384,188
385,976
386,366
387,1999
388,1328
389,469
390,243
391,492
392,290
393,445
394,246
395,708
396,489
397,244
398,366
399,462
400,804
401,1251
402,660
403,1478
404,413
405,859
406,220
407,1135
408,335
409,1303
410,1468
411,738
412,639
413,494
414,496
415,608
416,378
417,483
418,747
419,398
420,306
421,118
422,179
423,407
424,473
425,632
426,102
427,455
428,151
429,744
430,331
431,433
432,428
433,901
434,412
435,484
436,259
437,172
438,205
439,199
440,138
441,335
442,416
443,410
444,278
445,1515
446,1007
447,1631
448,448
449,681
450,273
451,1719
452,456
453,2103
454,2028
455,1337
456,708
457,626
458,435
459,531
460,371
461,493
462,449
463,391
464,170
465,174
466,342
467,571
468,407
469,1127
470,156
471,419
472,119
473,1243
474,246
475,886
476,766
477,955
478,313
479,289
480,209
481,160
482,101
483,239
484,155
485,35
486,42
487,61
488,29
489,174
490,261
491,546
492,190
493,98
494,60
495,193
496,62
497,430
498,273
499,66
500,170
501,158
502,45
503,120
504,72
505,103
506,78
507,619
508,173
509,101
510,570
511,541
512,311
513,477
514,132
515,995
516,143
517,1282
518,228
519,384
520,292
521,1173
522,343
523,302
524,413
525,241
526,203
527,217
528,93
529,248
530,165
531,80
532,234
533,397
534,204
535,288
536,88
537,456
538,91
539,727
540,133
541,226
542,209
543,617
544,268
545,206
546,213
547,100
548,131
549,131
550,58
551,644
552,297
553,131
554,777
555,669
556,314
557,562
558,160
559,976
560,175
561,1160
562,230
563,321
564,354
565,1021
566,478
567,325
568,406
569,249
570,246
571,265
572,110
573,122
574,43
575,22
576,103
577,125
578,72
579,149
580,25
581,124
582,35
583,273
584,35
585,94
586,83
587,277
588,76
589,69
590,47
591,41
592,33
593,61
594,16
595,624
596,267
597,197
598,471
599,687
600,523
601,692
602,179
603,704
604,148
605,1260
606,335
607,491
608,424
609,1310
610,513
611,476
612,325
613,422
614,250
615,367
616,179
617,287
618,114
619,107
620,207
621,229
622,228
623,371
624,95
625,295
626,88
627,541
628,155
629,222
630,216
631,410
632,315
633,214
634,191
635,133
636,90
637,148
638,70
639,542
640,259
641,182
642,349
643,631
644,363
645,562
646,133
647,947
648,168
649,964
650,281
651,282
652,316
653,970
654,500
655,406
656,286
657,334
658,221
659,291
660,125
661,540
662,268
663,75
664,528
665,396
666,425
667,532
668,83
669,992
670,214
671,1091
672,226
673,450
674,428
675,1355
676,366
677,410
678,402
679,199
680,246
681,241
682,71
683,195
684,673
685,199
686,74
687,410
688,1154
689,1531
690,535
691,2110
692,1165
693,1059
694,500
695,981
696,2405
697,575
698,666
699,545
700,338
701,423
702,151
703,647
704,407
705,302
706,166
707,200
708,76
709,503
710,242
711,641
712,128
713,162
714,88
715,756
716,196
717,431
718,359
719,305
720,153
721,282
722,131
723,60
724,102
725,367
726,67
727,300
728,136
729,55
730,132
731,258
732,179
733,275
734,60
735,111
736,40
737,349
738,85
739,184
740,209
741,281
742,103
743,143
744,77
745,52
746,67
747,146
748,30
749,188
750,67
751,102
752,451
753,497
754,187
755,597
756,156
757,1424
758,274
759,646
760,278
761,336
762,321
763,575
764,533
765,405
766,523
767,217
768,340
769,161
770,225
771,190
772,290
773,474
774,532
775,896
776,245
777,704
778,298
779,1614
780,308
781,585
782,334
783,804
784,666
785,564
786,1213
787,568
788,347
789,559
790,436
791,515
792,338
793,74
794,117
795,95
796,40
797,259
798,133
799,217
800,95
801,434
802,126
803,385
804,207
805,202
806,281
807,328
808,184
809,231
810,156
811,98
812,122
813,111
814,61
815,277
816,234
817,317
818,249
819,924
820,603
821,1866
822,697
823,5161
824,1535
825,1892
826,1015
827,1405
828,1573
829,1140
830,831
831,1216
832,930
833,1055
834,372
835,361
836,513
837,151
838,272
839,247
840,213
841,323
842,281
843,590
844,300
845,1599
846,231
847,500
848,246
849,519
850,659
851,448
852,758
853,418
854,320
855,402
856,158
857,264
858,284
859,173
860,386
861,277
862,153
863,478
864,491
865,729
866,280
867,1849
868,339
869,991
870,337
871,671
872,795
873,854
874,765
875,462
876,485
877,409
878,169
879,279
880,273
881,146
882,18
883,23
884,230
885,46
886,54
887,279
888,89
889,736
890,26
891,347
892,36
893,254
894,171
895,338
896,62
897,47
898,66
899,93
900,23
901,35
902,45
903,154
904,320
905,152
906,155
907,549
908,300
909,565
910,270
911,2136
912,305
913,630
914,331
915,489
916,467
917,722
918,633
919,436
920,535
921,331
922,176
923,217
924,170
925,214
926,113
927,167
928,322
929,435
930,287
931,741
932,291
933,1801
934,148
935,824
936,186
937,729
938,471
939,1038
940,440
941,396
942,300
943,618
944,138
945,204
946,281
947,230
948,64
949,53
950,429
951,347
952,135
953,273
954,56
955,368
956,60
957,271
958,76
959,180
960,145
961,136
962,157
963,183
964,98
965,118
966,138
967,169
968,63
969,83
970,69
971,59
972,15
973,139
974,231
975,317
976,76
977,293
978,49
979,396
980,221
981,213
982,392
983,363
984,175
985,176
986,126
987,47
988,36
989,78
990,30
991,43
992,41
993,29
994,51
995,36
996,95
997,305
998,13
999,24
1000,18
1001,168
1002,57
1003,175
1004,110
1005,179
1006,99
1007,157
1008,33
1009,37
1010,16
1011,66
1012,24
1013,209
1014,97
1015,63
1016,104
1017,676
1018,583
1019,596
1020,115
1021,798
1022,115
1023,1595
1024,422
1025,368
1026,1360
1027,935
1028,447
1029,404
1030,326
1031,103
1032,230
1033,217
1034,62
1035,22
1036,127
1037,173
1038,14
1039,215
1040,124
1041,521
1042,291
1043,153
1044,155
1045,146
1046,121
1047,674
