id,forecastVolum
1,280
2,307
3,212
4,264
5,551
6,189
7,487
8,220
9,2547
10,326
11,869
12,184
13,442
14,326
15,584
16,375
17,281
18,314
19,665
20,145
21,360
22,286
23,510
24,401
25,297
26,324
27,1150
28,497
29,1251
30,427
31,5142
32,793
33,1835
34,368
35,941
36,972
37,1364
38,782
39,580
40,1439
41,1140
42,323
43,445
44,920
45,192
46,338
47,256
48,400
49,624
50,161
51,412
52,190
53,2146
54,209
55,464
56,148
57,517
58,411
59,406
60,260
61,244
62,157
63,369
64,185
65,297
66,274
67,217
68,257
69,169
70,159
71,574
72,284
73,460
74,183
75,3437
76,412
77,1317
78,274
79,500
80,788
81,1094
82,352
83,535
84,655
85,229
86,168
87,309
88,321
89,197
90,3326
91,512
92,415
93,2970
94,1761
95,3653
96,2011
97,2026
98,1552
99,2412
100,574
101,4115
102,3809
103,1718
104,1074
105,1435
106,379
107,1079
108,192
109,2202
110,631
111,287
112,409
113,455
114,0
115,1298
116,1601
117,1585
118,705
119,3376
120,595
121,1796
122,840
123,1466
124,2214
125,1503
126,1600
127,1334
128,295
129,856
130,622
131,622
132,398
133,1657
134,190
135,154
136,1681
137,252
138,237
139,1305
140,266
141,1058
142,133
143,1273
144,183
145,541
146,594
147,663
148,261
149,199
150,192
151,341
152,82
153,332
154,245
155,551
156,124
157,97
158,107
159,306
160,501
161,416
162,102
163,481
164,105
165,883
166,223
167,266
168,345
169,706
170,251
171,228
172,155
173,73
174,103
175,167
176,65
177,785
178,349
179,333
180,490
181,1196
182,621
183,884
184,473
185,1090
186,357
187,1271
188,669
189,885
190,941
191,869
192,876
193,753
194,439
195,309
196,351
197,632
198,219
199,1239
200,336
201,370
202,210
203,1739
204,1558
205,2210
206,978
207,1412
208,789
209,3300
210,1157
211,1692
212,2107
213,1312
214,1414
215,1039
216,1079
217,455
218,349
219,1132
220,216
221,492
222,655
223,261
224,1043
225,1211
226,832
227,1067
228,999
229,0
230,707
231,797
232,1032
233,747
234,618
235,0
236,0
237,1130
238,0
239,817
240,694
241,733
242,354
243,93
244,352
245,299
246,101
247,820
248,463
249,879
250,486
251,625
252,491
253,508
254,350
255,1292
256,929
257,599
258,377
259,362
260,291
261,398
262,266
263,866
264,297
265,143
266,681
267,426
268,127
269,1343
270,765
271,1575
272,537
273,677
274,469
275,1182
276,521
277,1673
278,1568
279,575
280,650
281,441
282,370
283,274
284,231
285,659
286,423
287,499
288,1040
289,601
290,550
291,2789
292,1187
293,2580
294,822
295,3968
296,671
297,2807
298,930
299,2142
300,4358
301,1525
302,1176
303,1599
304,665
305,922
306,396
307,838
308,774
309,486
310,326
311,291
312,1017
313,819
314,591
315,1322
316,215
317,685
318,148
319,1387
320,292
321,1150
322,1053
323,438
324,256
325,358
326,252
327,210
328,355
329,372
330,133
331,129
332,761
333,158
334,321
335,1379
336,242
337,1487
338,1103
339,1531
340,450
341,897
342,300
343,2039
344,1283
345,562
346,382
347,948
348,347
349,1150
350,54
351,561
352,986
353,1570
354,1226
355,421
356,379
357,1626
358,1193
359,2676
360,1107
361,1408
362,580
363,4347
364,1303
365,2517
366,3225
367,1242
368,1516
369,1384
370,1308
371,831
372,896
373,1450
374,468
375,331
376,353
377,289
378,144
379,1083
380,562
381,2259
382,1364
383,794
384,416
385,1030
386,348
387,2633
388,1205
389,475
390,224
391,434
392,205
393,526
394,110
395,1011
396,287
397,303
398,335
399,484
400,1458
401,1120
402,607
403,1067
404,490
405,802
406,217
407,1543
408,312
409,1460
410,1240
411,594
412,346
413,385
414,336
415,663
416,359
417,368
418,918
419,535
420,223
421,141
422,239
423,447
424,221
425,842
426,133
427,953
428,151
429,972
430,270
431,605
432,391
433,832
434,296
435,409
436,233
437,177
438,74
439,204
440,187
441,535
442,235
443,275
444,531
445,2038
446,889
447,1141
448,490
449,867
450,311
451,1615
452,531
453,2035
454,1335
455,1061
456,676
457,598
458,362
459,568
460,96
461,448
462,663
463,510
464,291
465,259
466,707
467,788
468,387
469,1051
470,245
471,877
472,217
473,1304
474,301
475,1118
476,851
477,1079
478,351
479,373
480,378
481,304
482,166
483,414
484,303
485,97
486,100
487,116
488,79
489,185
490,373
491,655
492,237
493,131
494,111
495,183
496,106
497,554
498,316
499,111
500,158
501,167
502,98
503,149
504,111
505,136
506,138
507,881
508,150
509,129
510,691
511,286
512,204
513,614
514,175
515,1356
516,158
517,1502
518,234
519,457
520,111
521,1504
522,320
523,257
524,360
525,241
526,77
527,220
528,125
529,266
530,145
531,117
532,166
533,225
534,143
535,200
536,114
537,486
538,116
539,520
540,139
541,174
542,136
543,381
544,217
545,161
546,198
547,110
548,94
549,133
550,83
551,529
552,215
553,120
554,499
555,407
556,186
557,306
558,132
559,768
560,139
561,702
562,158
563,253
564,237
565,495
566,281
567,183
568,269
569,182
570,173
571,202
572,102
573,313
574,74
575,65
576,286
577,429
578,22
579,140
580,111
581,392
582,63
583,404
584,51
585,155
586,0
587,562
588,69
589,59
590,33
591,28
592,5
593,103
594,44
595,638
596,224
597,173
598,693
599,1355
600,182
601,605
602,194
603,1345
604,134
605,1160
606,250
607,572
608,374
609,1441
610,431
611,390
612,213
613,428
614,72
615,384
616,198
617,537
618,151
619,152
620,361
621,415
622,66
623,514
624,170
625,878
626,122
627,974
628,188
629,444
630,243
631,967
632,308
633,317
634,142
635,132
636,16
637,169
638,113
639,599
640,202
641,175
642,629
643,912
644,67
645,512
646,196
647,1252
648,149
649,1005
650,264
651,542
652,288
653,1184
654,499
655,496
656,151
657,400
658,23
659,338
660,221
661,704
662,241
663,131
664,602
665,672
666,258
667,617
668,126
669,1398
670,158
671,1474
672,225
673,514
674,454
675,1722
676,327
677,360
678,279
679,208
680,130
681,262
682,127
683,326
684,566
685,208
686,603
687,1991
688,415
689,1474
690,698
691,4452
692,2450
693,1808
694,351
695,1695
696,5522
697,899
698,330
699,665
700,350
701,486
702,96
703,837
704,541
705,531
706,320
707,408
708,139
709,753
710,535
711,785
712,220
713,343
714,117
715,1192
716,332
717,758
718,612
719,776
720,327
721,377
722,302
723,111
724,156
725,546
726,132
727,752
728,175
729,109
730,122
731,228
732,22
733,340
734,111
735,141
736,90
737,321
738,109
739,255
740,236
741,305
742,91
743,152
744,137
745,71
746,113
747,168
748,91
749,215
750,121
751,121
752,423
753,423
754,215
755,578
756,159
757,1285
758,229
759,926
760,201
761,514
762,321
763,492
764,328
765,340
766,318
767,228
768,361
769,168
770,142
771,227
772,349
773,519
774,1001
775,956
776,237
777,974
778,264
779,1786
780,295
781,705
782,266
783,723
784,787
785,653
786,1212
787,426
788,375
789,460
790,543
791,348
792,463
793,131
794,175
795,145
796,107
797,372
798,202
799,268
800,142
801,586
802,182
803,406
804,233
805,375
806,395
807,534
808,188
809,236
810,219
811,181
812,142
813,139
814,136
815,334
816,318
817,459
818,388
819,1134
820,458
821,1348
822,941
823,5231
824,1325
825,1225
826,1267
827,1376
828,1315
