id,forecastVolum
1,267
2,313
3,108
4,273
5,350
6,135
7,441
8,165
9,2604
10,318
11,719
12,121
13,273
14,318
15,659
16,376
17,292
18,266
19,800
20,52
21,292
22,289
23,295
24,252
25,171
26,210
27,460
28,300
29,735
30,266
31,5496
32,648
33,1300
34,314
35,627
36,457
37,1082
38,561
39,432
40,1187
41,1135
42,179
43,297
44,566
45,0
46,161
47,56
48,267
49,225
50,0
51,217
52,0
53,1371
54,4
55,255
56,0
57,230
58,181
59,245
60,105
61,92
62,0
63,302
64,0
65,129
66,111
67,86
68,128
69,0
70,3
71,203
72,85
73,243
74,4
75,3641
76,232
77,691
78,146
79,279
80,340
81,987
82,278
83,210
84,262
85,278
86,0
87,106
88,130
89,210
90,4838
91,544
92,100
93,1624
94,2923
95,4598
96,3360
97,2574
98,3541
99,4176
100,813
101,4725
102,4932
103,2569
104,1553
105,1940
106,476
107,1487
108,253
109,2929
110,670
111,319
112,484
113,565
114,0
115,614
116,905
117,1387
118,581
119,4275
120,545
121,1915
122,585
123,2191
124,2385
125,1046
126,722
127,1139
128,228
129,378
130,487
131,520
132,440
133,1574
134,202
135,133
136,1751
137,377
138,398
139,1460
140,299
141,1383
142,124
143,1377
144,191
145,999
146,967
147,1118
148,285
149,202
150,235
151,429
152,161
153,361
154,218
155,453
156,33
157,0
158,51
159,261
160,455
161,355
162,20
163,367
164,54
165,1322
166,208
167,147
168,340
169,760
170,246
171,220
172,104
173,31
174,31
175,110
176,0
177,461
178,306
179,266
180,198
181,577
182,555
183,504
184,325
185,676
186,238
187,1129
188,588
189,533
190,735
191,665
192,669
193,651
194,294
195,258
196,199
197,309
198,179
199,778
200,254
201,239
202,0
203,1142
204,1191
205,2388
206,389
207,1329
208,450
209,2603
210,1316
211,1689
212,1907
213,1569
214,1029
215,1059
216,689
217,283
218,303
219,366
220,101
221,0
222,309
223,59
224,192
225,857
226,501
227,1473
228,445
229,1500
230,333
231,1257
232,424
233,1237
234,2318
235,2412
236,561
237,588
238,679
239,22
240,268
241,858
242,0
243,49
244,445
245,312
246,0
247,703
248,508
249,1419
250,528
251,905
252,435
253,578
254,462
255,1300
256,1484
257,532
258,473
259,660
260,243
261,426
262,292
263,590
264,307
265,23
266,744
267,404
268,0
269,1239
270,878
271,1249
272,616
273,723
274,477
275,1193
276,593
277,1916
278,1660
279,801
280,727
281,841
282,384
283,296
284,308
285,557
286,478
287,247
288,919
289,617
290,129
291,1327
292,1138
293,1853
294,604
295,1886
296,576
297,1889
298,721
299,1760
300,2509
301,1599
302,878
303,1341
304,527
305,700
306,587
307,646
308,549
309,562
310,445
311,508
312,898
313,681
314,760
315,1422
316,650
317,474
318,118
319,1641
320,332
321,1449
322,1117
323,628
324,309
325,466
326,251
327,209
328,372
329,542
330,34
331,0
332,1126
333,766
334,216
335,2498
336,411
337,2189
338,852
339,1602
340,367
341,715
342,330
343,2223
344,1630
345,480
346,438
347,1094
348,394
349,1168
350,109
351,573
352,1466
353,981
354,1483
355,642
356,291
357,1203
358,1738
359,2238
360,1454
361,1456
362,515
363,2775
364,1245
365,2769
366,2648
367,1638
368,1297
369,1657
370,1278
371,646
372,728
373,1480
374,383
375,278
376,699
377,701
378,0
379,959
380,956
381,2840
382,1634
383,421
384,300
385,1189
386,383
387,3268
388,2007
389,636
390,246
391,548
392,305
393,902
394,269
395,812
396,619
397,170
398,339
399,365
400,827
401,830
402,452
403,1188
404,319
405,775
406,138
407,1133
408,192
409,1549
410,1403
411,588
412,294
413,303
414,290
415,740
416,206
417,355
418,811
419,309
420,180
421,39
422,145
423,296
424,318
425,380
426,1
427,356
428,77
429,640
430,239
431,320
432,307
433,619
434,274
435,305
436,214
437,132
438,149
439,132
440,95
441,334
442,408
443,389
444,337
445,1117
446,735
447,1429
448,394
449,589
450,259
451,1579
452,377
453,1721
454,1561
455,1130
456,470
457,418
458,413
459,442
460,305
461,429
462,484
463,486
464,207
465,208
466,436
467,483
468,432
469,1166
470,173
471,588
472,103
473,1647
474,208
475,1325
476,985
477,1301
478,241
479,241
480,248
481,185
482,0
483,296
484,242
485,0
486,0
487,0
488,0
489,113
490,267
491,440
492,170
493,7
494,4
495,155
496,15
497,492
498,258
499,5
500,86
501,120
502,0
503,76
504,25
505,17
506,11
507,448
508,122
509,0
510,460
511,506
512,281
513,433
514,14
515,1155
516,32
517,1341
518,103
519,301
520,254
521,1298
522,236
523,192
524,348
525,212
526,116
527,132
528,0
529,278
530,108
531,24
532,209
533,303
534,158
535,275
536,25
537,518
538,39
539,705
540,69
541,171
542,152
543,649
544,219
545,146
546,219
547,68
548,67
549,77
550,0
551,533
552,215
553,23
554,629
555,445
556,204
557,405
558,58
559,1158
560,69
561,1081
562,108
563,221
564,251
565,927
566,322
567,215
568,285
569,229
570,139
571,155
572,10
573,97
574,0
575,0
576,18
577,55
578,0
579,114
580,0
581,160
582,0
583,337
584,0
585,61
586,4
587,336
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,517
596,111
597,55
598,368
599,434
600,328
601,428
602,22
603,623
604,10
605,1159
606,108
607,408
608,334
609,1408
610,275
611,278
612,154
613,355
614,98
615,233
616,45
617,332
618,123
619,86
620,196
621,289
622,193
623,400
624,51
625,460
626,51
627,852
628,119
629,300
630,216
631,1015
632,288
633,219
634,186
635,95
636,4
637,90
638,0
639,374
640,182
641,55
642,551
643,427
644,240
645,396
646,7
647,1140
648,61
649,931
650,155
651,378
652,295
653,1266
654,346
655,310
656,201
657,291
658,99
659,201
660,13
661,400
662,128
663,0
664,388
665,348
666,248
667,311
668,0
669,896
670,5
671,905
672,84
673,244
674,239
675,1215
676,201
677,230
678,223
679,153
680,144
681,73
682,0
683,56
684,538
685,118
686,0
687,282
688,929
689,2440
690,431
691,3615
692,1967
693,2235
694,436
695,1783
696,4787
697,666
698,320
699,696
700,300
701,364
702,136
703,523
704,402
705,788
706,351
707,510
708,56
709,789
710,474
711,1198
712,328
713,300
714,133
715,1833
716,402
717,873
718,760
719,804
720,285
721,487
722,338
723,114
724,168
725,962
726,154
727,409
728,113
729,0
730,68
731,181
732,88
733,302
734,0
735,68
736,0
737,426
738,6
739,160
740,175
741,283
742,15
743,72
744,36
745,0
746,8
747,90
748,0
749,106
750,0
751,0
752,319
753,344
754,87
755,794
756,59
757,1852
758,191
759,917
760,115
761,411
762,183
763,706
764,432
765,405
766,546
767,228
768,251
769,47
770,22
771,139
772,278
773,405
774,483
775,695
776,139
777,707
778,233
779,1853
780,238
781,610
782,194
783,677
784,538
785,531
786,1015
787,492
788,289
789,721
790,386
791,447
792,301
793,0
794,24
795,0
796,0
797,198
798,77
799,185
800,0
801,554
802,53
803,420
804,150
805,156
806,261
807,402
808,92
809,175
810,112
811,58
812,30
813,0
814,0
815,180
816,236
817,301
818,216
819,670
820,382
821,1770
822,540
823,5497
824,1712
825,2417
826,618
827,1887
828,1454
829,1393
830,572
831,1462
832,838
833,1622
834,354
835,271
836,501
837,332
838,425
839,424
840,502
841,491
842,515
843,1021
844,491
845,1807
846,375
847,945
848,449
849,1057
850,998
851,724
852,1066
853,649
854,596
855,817
856,247
857,459
858,570
859,44
860,208
861,157
862,0
863,291
864,306
865,478
866,177
867,2187
868,163
869,901
870,174
871,469
872,574
873,559
874,434
875,268
876,255
877,289
878,0
879,138
880,193
881,147
882,0
883,0
884,234
885,0
886,0
887,239
888,17
889,644
890,0
891,285
892,0
893,198
894,98
895,338
896,0
897,0
898,0
899,82
900,0
901,0
902,0
903,169
904,216
905,21
906,33
907,254
908,198
909,354
910,141
911,2309
912,197
913,536
914,203
915,361
916,185
917,587
918,391
919,292
920,378
921,287
922,94
923,79
924,112
925,216
926,5
927,67
928,344
929,306
930,244
931,734
932,287
933,1822
934,9
935,871
936,96
937,774
938,513
939,1462
940,417
941,395
942,405
943,862
944,0
945,107
946,339
947,209
948,44
949,30
950,297
951,257
952,83
953,231
954,7
955,381
956,1
957,235
958,20
959,143
960,118
961,101
962,92
963,109
964,48
965,74
966,74
967,121
968,35
969,26
970,0
971,0
972,0
973,68
974,223
975,240
976,2
977,275
978,0
979,345
980,156
981,264
982,384
983,467
984,116
985,81
986,52
987,0
988,0
989,0
990,0
991,0
992,23
993,0
994,0
995,115
996,176
997,302
998,0
999,69
1000,0
1001,316
1002,102
