id,forecastVolum
1,229
2,251
3,142
4,358
5,317
6,131
7,383
8,169
9,1229
10,316
11,617
12,130
13,266
14,268
15,549
16,347
17,237
18,269
19,744
20,108
21,271
22,269
23,382
24,340
25,245
26,354
27,711
28,389
29,916
30,328
31,3935
32,828
33,1064
34,406
35,737
36,818
37,1023
38,786
39,761
40,982
41,1016
42,271
43,380
44,770
45,138
46,255
47,198
48,352
49,319
50,115
51,323
52,135
53,1023
54,148
55,356
56,110
57,338
58,297
59,344
60,215
61,206
62,105
63,387
64,136
65,226
66,224
67,157
68,249
69,139
70,117
71,277
72,235
73,277
74,150
75,2084
76,277
77,844
78,260
79,277
80,393
81,944
82,389
83,377
84,324
85,293
86,136
87,224
88,215
89,187
90,4081
91,458
92,110
93,1137
94,1534
95,2466
96,1807
97,933
98,1730
99,838
100,586
101,2193
102,4415
103,1081
104,1240
105,1104
106,621
107,858
108,222
109,1382
110,597
111,299
112,359
113,476
114,100
115,778
116,889
117,1216
118,528
119,3989
120,647
121,1144
122,558
123,1268
124,1452
125,755
126,899
127,1056
128,350
129,364
130,481
131,411
132,436
133,923
134,170
135,136
136,921
137,260
138,285
139,972
140,205
141,793
142,100
143,882
144,147
145,601
146,673
147,796
148,194
149,165
150,159
151,287
152,123
153,294
154,208
155,396
156,96
157,76
158,95
159,251
160,378
161,284
162,83
163,311
164,99
165,835
166,177
167,169
168,230
169,700
170,210
171,186
172,129
173,82
174,93
175,123
176,69
177,704
178,323
179,282
180,522
181,732
182,590
183,746
184,398
185,733
186,304
187,1075
188,581
189,704
190,733
191,736
192,689
193,698
194,425
195,278
196,363
197,385
198,170
199,1062
200,264
201,313
202,212
203,1016
204,1315
205,1630
206,648
207,923
208,717
209,2162
210,1040
211,879
212,1180
213,1150
214,1039
215,1023
216,730
217,249
218,346
219,434
220,247
221,111
222,300
223,194
224,572
225,982
226,635
227,1042
228,583
229,727
230,586
231,767
232,604
233,803
234,1388
235,993
236,751
237,581
238,488
239,199
240,519
241,1023
242,120
243,78
244,371
245,227
246,85
247,677
248,520
249,1021
250,572
251,548
252,435
253,506
254,455
255,1163
256,944
257,522
258,447
259,594
260,257
261,339
262,294
263,745
264,240
265,99
266,651
267,409
268,84
269,1300
270,924
271,1146
272,631
273,615
274,514
275,1080
276,590
277,1002
278,1241
279,686
280,623
281,579
282,465
283,281
284,351
285,588
286,567
287,344
288,827
289,698
290,325
291,1800
292,1551
293,1058
294,668
295,1434
296,746
297,1696
298,674
299,725
300,2841
301,1270
302,1081
303,1361
304,695
305,744
306,733
307,673
308,762
309,562
310,395
311,426
312,741
313,658
314,649
315,945
316,601
317,449
318,126
319,963
320,275
321,1039
322,849
323,616
324,249
325,405
326,208
327,178
328,346
329,480
330,104
331,93
332,1117
333,638
334,314
335,1020
336,428
337,1952
338,743
339,1130
340,415
341,609
342,332
343,1670
344,1027
345,516
346,468
347,913
348,414
349,920
350,177
351,555
352,1080
353,1393
354,928
355,412
356,274
357,1622
358,2052
359,3177
360,939
361,833
362,451
363,3460
364,854
365,3316
366,3762
367,1511
368,783
369,1227
370,490
371,443
372,735
373,628
374,361
375,402
376,623
377,437
378,115
379,707
380,665
381,2693
382,1040
383,479
384,343
385,761
386,339
387,2977
388,1446
389,632
390,200
391,403
392,278
393,566
394,269
395,614
396,398
397,252
398,365
399,472
400,923
401,719
402,506
403,1037
404,404
405,619
406,181
407,993
408,266
409,1060
410,1050
411,639
412,425
413,377
414,369
415,653
416,325
417,440
418,835
419,527
420,306
421,112
422,306
423,375
424,443
425,722
426,97
427,656
428,137
429,775
430,365
431,576
432,490
433,795
434,371
435,485
436,365
437,180
438,195
439,199
440,186
441,453
442,460
443,431
444,432
445,2056
446,873
447,1108
448,458
449,744
450,360
451,1656
452,404
453,1372
454,2276
455,1508
456,624
457,481
458,500
459,699
460,410
461,452
462,623
463,590
464,272
465,250
466,669
467,661
468,536
469,895
470,232
471,564
472,184
473,1079
474,290
475,968
476,829
477,1214
478,390
479,367
480,363
481,277
482,132
483,366
484,277
485,69
486,72
487,84
488,69
489,132
490,341
491,571
492,212
493,101
494,81
495,182
496,74
497,539
498,273
499,86
500,119
501,128
502,69
503,137
504,87
505,96
506,107
507,601
508,173
509,92
510,629
511,497
512,294
513,479
514,114
515,971
516,128
517,996
518,188
519,299
520,278
521,1026
522,307
523,243
524,454
525,217
526,207
527,194
528,92
529,266
530,134
531,95
532,243
533,296
534,165
535,241
536,91
537,508
538,101
539,637
540,117
541,170
542,155
543,583
544,214
545,158
546,212
547,122
548,116
549,122
550,81
551,501
552,189
553,103
554,578
555,435
556,184
557,391
558,114
559,809
560,119
561,744
562,139
563,235
564,227
565,658
566,297
567,192
568,280
569,206
570,163
571,183
572,98
573,172
574,81
575,64
576,135
577,138
578,102
579,189
580,70
581,176
582,70
583,436
584,74
585,118
586,104
587,375
588,90
589,84
590,79
591,85
592,72
593,86
594,66
595,493
596,173
597,132
598,445
599,417
600,305
601,389
602,120
603,619
604,112
605,943
606,178
607,373
608,316
609,1201
610,284
611,275
612,210
613,310
614,164
615,236
616,138
617,383
618,150
619,130
620,259
621,330
622,221
623,387
624,120
625,534
626,112
627,667
628,160
629,290
630,223
631,821
632,308
633,232
634,209
635,141
636,112
637,137
638,92
639,462
640,224
641,144
642,800
643,453
644,271
645,429
646,117
647,815
648,138
649,840
650,189
651,358
652,321
653,942
654,377
655,337
656,233
657,287
658,178
659,236
660,125
661,576
662,231
663,85
664,547
665,532
666,333
667,444
668,91
669,1166
670,138
671,887
672,158
673,347
674,323
675,1070
676,267
677,315
678,286
679,204
680,224
681,186
682,87
683,190
684,488
685,148
686,112
687,416
688,895
689,1677
690,505
691,2292
692,2093
693,1519
694,431
695,1043
696,2718
697,749
698,539
699,779
700,374
701,469
702,153
703,608
704,454
705,551
706,232
707,371
708,94
709,572
710,368
711,598
712,226
713,217
714,97
715,970
716,288
717,634
718,499
719,507
720,198
721,386
722,239
723,102
724,124
725,529
726,119
727,240
728,133
729,81
730,111
731,196
732,120
733,255
734,82
735,113
736,71
737,431
738,82
739,180
740,179
741,263
742,81
743,114
744,93
745,75
746,90
747,118
748,70
749,178
750,86
751,100
752,367
753,339
754,168
755,629
756,149
757,1223
758,225
759,653
760,192
761,366
762,225
763,564
764,379
765,486
766,484
767,249
768,281
769,141
770,181
771,178
772,304
773,402
774,647
775,623
776,179
777,566
778,250
779,1055
780,281
781,561
782,227
783,724
784,445
785,482
786,761
787,432
788,350
789,621
790,360
791,393
792,305
793,88
794,121
795,112
796,77
797,288
798,145
799,262
800,107
801,713
802,145
803,574
804,202
805,227
806,397
807,536
808,147
809,260
810,171
811,163
812,109
813,96
814,93
815,254
816,257
817,372
818,322
819,698
820,411
821,2347
822,652
823,4394
824,1811
825,1354
826,772
827,2052
828,1567
829,1082
830,552
831,1156
832,852
833,1305
834,472
835,340
836,584
837,193
838,276
839,252
840,298
841,295
842,307
843,514
844,339
845,1157
846,229
847,470
848,226
849,361
850,548
851,396
852,653
853,314
854,403
855,466
856,149
857,285
858,405
859,191
860,252
861,266
862,139
863,330
864,349
865,784
866,256
867,1445
868,265
869,835
870,373
871,817
872,860
873,817
874,719
875,291
876,591
877,331
878,146
879,222
880,298
881,134
882,60
883,63
884,211
885,65
886,73
887,187
888,88
889,558
890,62
891,259
892,64
893,181
894,119
895,328
896,74
897,65
898,75
899,114
900,61
901,61
902,71
903,223
904,293
905,129
906,137
907,360
908,252
909,460
910,223
911,1542
912,269
913,655
914,247
915,393
916,292
917,617
918,417
919,265
920,520
921,330
922,146
923,173
924,186
925,253
926,107
927,156
928,417
929,293
930,220
931,587
932,295
933,1074
934,107
935,696
936,149
937,719
938,449
939,927
940,369
941,389
942,443
943,771
944,123
945,161
946,292
947,203
948,77
949,78
950,349
951,203
952,92
953,185
954,70
955,335
956,71
957,182
958,79
959,124
960,107
961,108
962,107
963,113
964,93
965,104
966,111
967,122
968,78
969,109
970,86
971,78
972,61
973,136
974,321
975,408
976,102
977,376
978,71
979,712
980,204
981,305
982,454
983,730
984,154
985,145
986,133
987,77
988,63
989,88
990,71
991,68
992,80
993,73
994,73
995,109
996,125
997,275
998,67
999,119
1000,63
1001,255
1002,99
1003,251
1004,247
1005,321
1006,129
1007,138
1008,83
1009,89
