id,forecastVolum
1,304
2,336
3,190
4,273
5,435
6,227
7,593
8,258
9,3041
10,368
11,877
12,188
13,391
14,390
15,702
16,411
17,349
18,338
19,708
20,128
21,335
22,214
23,451
24,429
25,283
26,273
27,818
28,462
29,1589
30,470
31,8014
32,1017
33,2264
34,535
35,1133
36,991
37,1906
38,851
39,799
40,1424
41,1556
42,236
43,424
44,661
45,163
46,305
47,212
48,327
49,379
50,181
51,408
52,158
53,1851
54,193
55,451
56,178
57,350
58,365
59,447
60,290
61,297
62,144
63,445
64,163
65,272
66,176
67,186
68,360
69,194
70,130
71,501
72,315
73,618
74,218
75,4582
76,499
77,1264
78,448
79,558
80,699
81,1668
82,636
83,762
84,840
85,570
86,161
87,293
88,231
89,218
90,2420
91,539
92,119
93,1349
94,1459
95,3013
96,1369
97,1780
98,1435
99,1842
100,743
101,3026
102,2980
103,1462
104,1092
105,1358
106,470
107,993
108,247
109,1409
110,491
111,324
112,459
113,527
114,121
115,990
116,968
117,1818
118,497
119,4449
120,653
121,1650
122,781
123,2001
124,2222
125,1150
126,1064
127,1269
128,416
129,378
130,436
131,492
132,438
133,1154
134,180
135,192
136,999
137,468
138,410
139,1238
140,357
141,1194
142,138
143,1289
144,223
145,942
146,932
147,1131
148,318
149,275
150,268
151,421
152,173
153,437
154,260
155,394
156,124
157,48
158,65
159,384
160,447
161,342
162,57
163,471
164,128
165,728
166,248
167,248
168,352
169,527
170,306
171,300
172,200
173,74
174,88
175,162
176,32
177,947
178,428
179,406
180,398
181,1239
182,1072
183,1432
184,490
185,1189
186,385
187,1569
188,1063
189,947
190,1390
191,1223
192,1291
193,1307
194,540
195,417
196,393
197,479
198,194
199,971
200,530
201,525
202,110
203,1704
204,1798
205,3220
206,773
207,2150
208,890
209,3659
210,1590
211,1791
212,2794
213,2367
214,1427
215,1766
216,1088
217,654
218,451
219,785
220,266
221,141
222,440
223,308
224,301
225,1027
226,839
227,1803
228,581
229,1343
230,687
231,1069
232,791
233,1122
234,1995
235,1750
236,1051
237,1042
238,713
239,241
240,444
241,1011
242,132
243,75
244,475
245,399
246,78
247,903
248,535
249,1165
250,738
251,1008
252,478
253,606
254,510
255,1226
256,1274
257,714
258,535
259,712
260,419
261,403
262,364
263,803
264,233
265,109
266,786
267,596
268,76
269,1468
270,1176
271,1970
272,781
273,1072
274,611
275,1321
276,855
277,1662
278,1692
279,1210
280,1089
281,989
282,529
283,452
284,421
285,858
286,572
287,387
288,1128
289,926
290,281
291,2282
292,1925
293,3887
294,986
295,2255
296,829
297,3112
298,1234
299,2811
300,4084
301,2333
302,1701
303,2064
304,791
305,1000
306,826
307,988
308,792
309,729
310,521
311,548
312,684
313,911
314,922
315,1340
316,781
317,655
318,227
319,1599
320,464
321,1452
322,1115
323,838
324,484
325,660
326,286
327,226
328,434
329,617
330,103
331,66
332,1244
333,911
334,243
335,2378
336,472
337,3478
338,1065
339,1948
340,428
341,848
342,399
343,3623
344,2039
345,757
346,470
347,1248
348,579
349,1229
350,258
351,688
352,1371
353,1323
354,1089
355,597
356,284
357,1902
358,1994
359,3432
360,1243
361,1419
362,629
363,3620
364,1353
365,3324
366,3917
367,1698
368,1218
369,1716
370,945
371,569
372,711
373,1092
374,329
375,340
376,731
377,780
378,119
379,1287
380,910
381,3577
382,1348
383,727
384,176
385,1230
386,426
387,3431
388,2047
389,796
390,322
391,556
392,428
393,831
394,298
395,868
396,815
397,314
398,446
399,521
400,737
401,1158
402,755
403,2113
404,553
405,1086
406,298
407,1290
408,405
409,2122
410,1621
411,990
412,710
413,571
414,738
415,815
416,374
417,597
418,796
419,515
420,324
421,102
422,194
423,613
424,513
425,794
426,102
427,671
428,151
429,959
430,378
431,460
432,478
433,1067
434,420
435,544
436,304
437,180
438,177
439,158
440,120
441,504
442,581
443,574
444,372
445,2252
446,1302
447,2673
448,616
449,1229
450,413
451,2835
452,692
453,3544
454,3390
455,2083
456,948
457,954
458,599
459,830
460,439
461,707
462,608
463,698
464,265
465,259
466,418
467,791
468,608
469,2035
470,254
471,707
472,184
473,2231
474,356
475,1629
476,1126
477,1904
478,448
479,449
480,324
481,298
482,133
483,357
484,236
485,43
486,56
487,83
488,40
489,199
490,385
491,611
492,260
493,152
494,72
495,231
496,77
497,492
498,342
499,95
500,206
501,196
502,69
503,164
504,85
505,126
506,111
507,698
508,213
509,95
510,587
511,571
512,338
513,501
514,121
515,1192
516,166
517,1311
518,262
519,395
520,365
521,1216
522,375
523,356
524,461
525,265
526,196
527,237
528,85
529,305
530,182
531,88
532,237
533,369
534,223
535,321
536,95
537,510
538,101
539,764
540,142
541,235
542,214
543,696
544,263
545,232
546,236
547,128
548,128
549,139
550,72
551,611
552,249
553,98
554,664
555,596
556,273
557,460
558,134
559,1051
560,158
561,969
562,209
563,281
564,331
565,925
566,400
567,281
568,373
569,268
570,200
571,241
572,84
573,157
574,46
575,22
576,106
577,195
578,75
579,220
580,25
581,201
582,38
583,398
584,46
585,105
586,104
587,435
588,86
589,78
590,51
591,59
592,40
593,58
594,21
595,531
596,206
597,154
598,396
599,693
600,412
601,668
602,161
603,801
604,140
605,1245
606,278
607,505
608,462
609,1306
610,356
611,354
612,295
613,366
614,166
615,306
616,140
617,372
618,147
619,142
620,252
621,459
622,298
623,461
624,137
625,682
626,117
627,866
628,205
629,304
630,298
631,1000
632,366
633,298
634,243
635,186
636,118
637,164
638,79
639,624
640,308
641,164
642,728
643,794
644,388
645,728
646,156
647,1274
648,192
649,1159
650,341
651,510
652,407
653,1251
654,488
655,450
656,365
657,407
658,229
659,310
660,128
661,646
662,295
663,88
664,598
665,738
666,473
667,636
668,108
669,1448
670,221
671,1267
672,264
673,480
674,498
675,1515
676,404
677,482
678,495
679,251
680,238
681,241
682,74
683,277
684,628
685,200
686,100
687,541
688,1037
689,2141
690,548
691,3592
692,1725
693,1528
694,526
695,1309
696,3085
697,942
698,643
699,920
700,431
701,482
702,169
703,651
704,431
705,685
706,247
707,358
708,85
709,699
710,370
711,1001
712,255
713,381
714,121
715,1118
716,364
717,692
718,594
719,645
720,254
721,469
722,276
723,114
724,114
725,595
726,86
727,329
728,163
729,59
730,148
731,307
732,188
733,353
734,82
735,164
736,48
737,481
738,106
739,261
740,268
741,353
742,111
743,184
744,85
745,54
746,87
747,166
748,38
749,261
750,99
751,124
752,440
753,457
754,281
755,773
756,188
757,2193
758,296
759,863
760,310
761,501
762,373
763,766
764,565
765,482
766,587
767,310
768,289
769,216
770,421
771,253
772,347
773,536
774,597
775,839
776,326
777,917
778,371
779,2170
780,389
781,753
782,408
783,1020
784,784
785,756
786,1226
787,676
788,447
789,719
790,427
791,587
792,394
793,103
794,142
795,135
796,49
797,294
798,195
799,289
800,112
801,637
802,183
803,485
804,248
805,264
806,372
807,513
808,235
809,305
810,196
811,147
812,129
813,117
814,66
815,335
816,364
817,387
818,261
819,945
820,614
821,2831
822,807
823,7973
824,1876
825,2121
826,1045
827,1825
828,1757
829,1404
830,939
831,1528
832,1034
833,1439
834,347
835,385
836,622
837,283
838,468
839,404
840,345
841,541
842,504
843,1231
844,575
845,3026
846,379
847,1010
848,439
849,1025
850,1334
851,913
852,1307
853,744
854,643
855,854
856,290
857,444
858,581
859,184
860,343
861,254
862,151
863,403
864,446
865,773
866,280
867,2489
868,342
869,950
870,320
871,647
872,682
873,866
874,690
875,417
876,468
877,419
878,172
879,259
880,280
881,159
882,20
883,22
884,249
885,26
886,44
887,249
888,101
889,852
890,22
891,363
892,30
893,247
894,149
895,357
896,53
897,35
898,51
899,113
900,18
901,25
902,52
903,251
904,359
905,165
906,138
907,558
908,327
909,726
910,300
911,3580
912,365
913,774
914,364
915,623
916,535
917,926
918,677
919,508
920,628
921,450
922,180
923,268
924,198
925,360
926,151
927,200
928,401
929,482
930,394
931,900
932,437
933,2761
934,168
935,978
936,252
937,914
938,597
939,1356
940,545
941,489
942,435
943,788
944,159
945,224
946,366
947,276
948,61
949,65
950,421
951,344
952,142
953,329
954,52
955,386
956,64
957,305
958,91
959,211
960,155
961,144
962,159
963,199
964,108
965,144
966,133
967,176
968,61
969,91
970,74
971,61
972,20
973,175
974,340
975,430
976,77
977,482
978,45
979,516
980,260
981,343
982,446
983,534
984,204
985,245
986,149
987,56
988,38
989,95
990,33
991,94
992,29
993,25
994,40
995,77
996,107
997,352
998,14
999,38
1000,16
1001,201
1002,58
1003,198
1004,124
1005,208
1006,99
1007,174
1008,31
1009,42
1010,16
1011,60
1012,16
1013,320
1014,143
1015,79
1016,128
1017,666
1018,668
1019,791
1020,137
1021,987
1022,163
1023,1671
1024,584
1025,498
1026,1242
1027,1300
1028,511
1029,522
1030,393
1031,160
1032,270
1033,271
1034,71
1035,36
1036,228
1037,312
1038,33
1039,420
1040,355
1041,927
1042,507
1043,399
1044,254
1045,366
1046,238
1047,1153
1048,764
1049,604
1050,180
1051,277
1052,224
1053,461
1054,61
1055,283
1056,321
1057,372
1058,273
1059,251
1060,248
1061,566
1062,694
1063,848
1064,270
1065,645
1066,157
1067,986
1068,525
1069,810
1070,972
1071,1068
1072,528
1073,494
1074,350
1075,226
1076,193
1077,349
1078,101
1079,187
1080,191
1081,42
1082,52
1083,398
1084,292
