province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity,carCommentVolum,newsReplyVolum
上海,310000,3c974920a76ac9c1,SUV,2016,1,292,1479,11,106
云南,530000,3c974920a76ac9c1,SUV,2016,1,466,1594,11,106
内蒙古,150000,3c974920a76ac9c1,SUV,2016,1,257,1479,11,106
北京,110000,3c974920a76ac9c1,SUV,2016,1,408,2370,11,106
四川,510000,3c974920a76ac9c1,SUV,2016,1,610,3562,11,106
安徽,340000,3c974920a76ac9c1,SUV,2016,1,206,1314,11,106
山东,370000,3c974920a76ac9c1,SUV,2016,1,503,3476,11,106
山西,140000,3c974920a76ac9c1,SUV,2016,1,236,1422,11,106
广东,440000,3c974920a76ac9c1,SUV,2016,1,3635,7182,11,106
广西,450000,3c974920a76ac9c1,SUV,2016,1,450,1163,11,106
江苏,320000,3c974920a76ac9c1,SUV,2016,1,876,3670,11,106
江西,360000,3c974920a76ac9c1,SUV,2016,1,253,926,11,106
河北,130000,3c974920a76ac9c1,SUV,2016,1,306,2973,11,106
河南,410000,3c974920a76ac9c1,SUV,2016,1,537,3483,11,106
浙江,330000,3c974920a76ac9c1,SUV,2016,1,650,3167,11,106
湖北,420000,3c974920a76ac9c1,SUV,2016,1,635,2190,11,106
湖南,430000,3c974920a76ac9c1,SUV,2016,1,525,1666,11,106
福建,350000,3c974920a76ac9c1,SUV,2016,1,462,1357,11,106
辽宁,210000,3c974920a76ac9c1,SUV,2016,1,791,2808,11,106
重庆,500000,3c974920a76ac9c1,SUV,2016,1,195,682,11,106
陕西,610000,3c974920a76ac9c1,SUV,2016,1,298,1558,11,106
黑龙江,230000,3c974920a76ac9c1,SUV,2016,1,309,2118,11,106
上海,310000,3d7554f1f56dd664,Sedan,2016,1,389,1519,43,3996
云南,530000,3d7554f1f56dd664,Sedan,2016,1,306,1161,43,3996
内蒙古,150000,3d7554f1f56dd664,Sedan,2016,1,260,1340,43,3996
北京,110000,3d7554f1f56dd664,Sedan,2016,1,449,2388,43,3996
四川,510000,3d7554f1f56dd664,Sedan,2016,1,757,3757,43,3996
安徽,340000,3d7554f1f56dd664,Sedan,2016,1,275,1378,43,3996
山东,370000,3d7554f1f56dd664,Sedan,2016,1,890,3643,43,3996
山西,140000,3d7554f1f56dd664,Sedan,2016,1,387,1425,43,3996
广东,440000,3d7554f1f56dd664,Sedan,2016,1,8330,9439,43,3996
广西,450000,3d7554f1f56dd664,Sedan,2016,1,801,1491,43,3996
江苏,320000,3d7554f1f56dd664,Sedan,2016,1,1685,4436,43,3996
江西,360000,3d7554f1f56dd664,Sedan,2016,1,393,1170,43,3996
河北,130000,3d7554f1f56dd664,Sedan,2016,1,788,3275,43,3996
河南,410000,3d7554f1f56dd664,Sedan,2016,1,850,3728,43,3996
浙江,330000,3d7554f1f56dd664,Sedan,2016,1,1438,4077,43,3996
湖北,420000,3d7554f1f56dd664,Sedan,2016,1,762,2086,43,3996
湖南,430000,3d7554f1f56dd664,Sedan,2016,1,678,1887,43,3996
福建,350000,3d7554f1f56dd664,Sedan,2016,1,1115,1812,43,3996
辽宁,210000,3d7554f1f56dd664,Sedan,2016,1,1304,3398,43,3996
重庆,500000,3d7554f1f56dd664,Sedan,2016,1,188,679,43,3996
陕西,610000,3d7554f1f56dd664,Sedan,2016,1,240,1444,43,3996
黑龙江,230000,3d7554f1f56dd664,Sedan,2016,1,467,2274,43,3996
上海,310000,2d0d2c3403909fdb,SUV,2016,1,232,822,59,698
云南,530000,2d0d2c3403909fdb,SUV,2016,1,297,1017,59,698
内蒙古,150000,2d0d2c3403909fdb,SUV,2016,1,259,932,59,698
北京,110000,2d0d2c3403909fdb,SUV,2016,1,805,1337,59,698
四川,510000,2d0d2c3403909fdb,SUV,2016,1,423,2167,59,698
安徽,340000,2d0d2c3403909fdb,SUV,2016,1,138,851,59,698
山东,370000,2d0d2c3403909fdb,SUV,2016,1,337,2019,59,698
山西,140000,2d0d2c3403909fdb,SUV,2016,1,166,712,59,698
广东,440000,2d0d2c3403909fdb,SUV,2016,1,1775,3140,59,698
广西,450000,2d0d2c3403909fdb,SUV,2016,1,207,527,59,698
江苏,320000,2d0d2c3403909fdb,SUV,2016,1,463,1790,59,698
江西,360000,2d0d2c3403909fdb,SUV,2016,1,97,467,59,698
河北,130000,2d0d2c3403909fdb,SUV,2016,1,326,1780,59,698
河南,410000,2d0d2c3403909fdb,SUV,2016,1,271,1890,59,698
浙江,330000,2d0d2c3403909fdb,SUV,2016,1,381,1695,59,698
湖北,420000,2d0d2c3403909fdb,SUV,2016,1,226,1030,59,698
湖南,430000,2d0d2c3403909fdb,SUV,2016,1,259,866,59,698
福建,350000,2d0d2c3403909fdb,SUV,2016,1,137,537,59,698
辽宁,210000,2d0d2c3403909fdb,SUV,2016,1,543,1281,59,698
重庆,500000,2d0d2c3403909fdb,SUV,2016,1,172,458,59,698
陕西,610000,2d0d2c3403909fdb,SUV,2016,1,248,838,59,698
黑龙江,230000,2d0d2c3403909fdb,SUV,2016,1,362,1158,59,698
上海,310000,a28bb927b6fcb33c,Sedan,2016,1,243,669,219,117
云南,530000,a28bb927b6fcb33c,Sedan,2016,1,238,465,219,117
内蒙古,150000,a28bb927b6fcb33c,Sedan,2016,1,190,552,219,117
北京,110000,a28bb927b6fcb33c,Sedan,2016,1,335,1026,219,117
四川,510000,a28bb927b6fcb33c,Sedan,2016,1,528,1753,219,117
安徽,340000,a28bb927b6fcb33c,Sedan,2016,1,308,735,219,117
山东,370000,a28bb927b6fcb33c,Sedan,2016,1,424,1635,219,117
山西,140000,a28bb927b6fcb33c,Sedan,2016,1,182,578,219,117
广东,440000,a28bb927b6fcb33c,Sedan,2016,1,4260,4350,219,117
广西,450000,a28bb927b6fcb33c,Sedan,2016,1,414,617,219,117
江苏,320000,a28bb927b6fcb33c,Sedan,2016,1,902,2035,219,117
江西,360000,a28bb927b6fcb33c,Sedan,2016,1,248,491,219,117
河北,130000,a28bb927b6fcb33c,Sedan,2016,1,409,1540,219,117
河南,410000,a28bb927b6fcb33c,Sedan,2016,1,455,1535,219,117
浙江,330000,a28bb927b6fcb33c,Sedan,2016,1,1040,2053,219,117
湖北,420000,a28bb927b6fcb33c,Sedan,2016,1,675,1022,219,117
湖南,430000,a28bb927b6fcb33c,Sedan,2016,1,547,870,219,117
福建,350000,a28bb927b6fcb33c,Sedan,2016,1,464,717,219,117
辽宁,210000,a28bb927b6fcb33c,Sedan,2016,1,649,1261,219,117
重庆,500000,a28bb927b6fcb33c,Sedan,2016,1,187,352,219,117
陕西,610000,a28bb927b6fcb33c,Sedan,2016,1,259,648,219,117
黑龙江,230000,a28bb927b6fcb33c,Sedan,2016,1,291,944,219,117
上海,310000,17bc272c93f19d56,MPV,2016,1,365,3369,0,0
云南,530000,17bc272c93f19d56,MPV,2016,1,4147,6548,0,0
内蒙古,150000,17bc272c93f19d56,MPV,2016,1,567,2074,0,0
北京,110000,17bc272c93f19d56,MPV,2016,1,456,4987,0,0
四川,510000,17bc272c93f19d56,MPV,2016,1,1772,8433,0,0
安徽,340000,17bc272c93f19d56,MPV,2016,1,2289,4473,0,0
