province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity,carCommentVolum,newsReplyVolum,salesVolume_model_in_all_adcode,salesVolume_bodyType_in_all_adcode,salesVolume_adcode_in_all_model,salesVolume_bodyType_in_all_model
上海,310000,3c974920a76ac9c1,SUV,2016,1,292,1479,11,106,12900.0,292.0,32905.0,11822.0
云南,530000,3c974920a76ac9c1,SUV,2016,1,466,1594,11,106,12900.0,466.0,30570.0,11308.0
内蒙古,150000,3c974920a76ac9c1,SUV,2016,1,257,1479,11,106,12900.0,257.0,20626.0,8204.0
北京,110000,3c974920a76ac9c1,SUV,2016,1,408,2370,11,106,12900.0,408.0,38140.0,15517.0
四川,510000,3c974920a76ac9c1,SUV,2016,1,610,3562,11,106,12900.0,610.0,60207.0,24635.0
安徽,340000,3c974920a76ac9c1,SUV,2016,1,206,1314,11,106,12900.0,206.0,47612.0,18608.0
山东,370000,3c974920a76ac9c1,SUV,2016,1,503,3476,11,106,12900.0,503.0,92216.0,25908.0
山西,140000,3c974920a76ac9c1,SUV,2016,1,236,1422,11,106,12900.0,236.0,29243.0,8572.0
广东,440000,3c974920a76ac9c1,SUV,2016,1,3635,7182,11,106,12900.0,3635.0,114100.0,48367.0
广西,450000,3c974920a76ac9c1,SUV,2016,1,450,1163,11,106,12900.0,450.0,29789.0,8721.0
江苏,320000,3c974920a76ac9c1,SUV,2016,1,876,3670,11,106,12900.0,876.0,92648.0,31399.0
江西,360000,3c974920a76ac9c1,SUV,2016,1,253,926,11,106,12900.0,253.0,34402.0,12890.0
河北,130000,3c974920a76ac9c1,SUV,2016,1,306,2973,11,106,12900.0,306.0,70031.0,19669.0
河南,410000,3c974920a76ac9c1,SUV,2016,1,537,3483,11,106,12900.0,537.0,87167.0,27065.0
浙江,330000,3c974920a76ac9c1,SUV,2016,1,650,3167,11,106,12900.0,650.0,72801.0,29313.0
湖北,420000,3c974920a76ac9c1,SUV,2016,1,635,2190,11,106,12900.0,635.0,47801.0,21573.0
湖南,430000,3c974920a76ac9c1,SUV,2016,1,525,1666,11,106,12900.0,525.0,52488.0,21282.0
福建,350000,3c974920a76ac9c1,SUV,2016,1,462,1357,11,106,12900.0,462.0,30946.0,11885.0
辽宁,210000,3c974920a76ac9c1,SUV,2016,1,791,2808,11,106,12900.0,791.0,28977.0,10156.0
重庆,500000,3c974920a76ac9c1,SUV,2016,1,195,682,11,106,12900.0,195.0,26342.0,12470.0
陕西,610000,3c974920a76ac9c1,SUV,2016,1,298,1558,11,106,12900.0,298.0,33729.0,12300.0
黑龙江,230000,3c974920a76ac9c1,SUV,2016,1,309,2118,11,106,12900.0,309.0,18243.0,7238.0
上海,310000,3d7554f1f56dd664,Sedan,2016,1,389,1519,43,3996,22752.0,389.0,32905.0,17383.0
云南,530000,3d7554f1f56dd664,Sedan,2016,1,306,1161,43,3996,22752.0,306.0,30570.0,10568.0
内蒙古,150000,3d7554f1f56dd664,Sedan,2016,1,260,1340,43,3996,22752.0,260.0,20626.0,10965.0
北京,110000,3d7554f1f56dd664,Sedan,2016,1,449,2388,43,3996,22752.0,449.0,38140.0,18054.0
四川,510000,3d7554f1f56dd664,Sedan,2016,1,757,3757,43,3996,22752.0,757.0,60207.0,29400.0
安徽,340000,3d7554f1f56dd664,Sedan,2016,1,275,1378,43,3996,22752.0,275.0,47612.0,22886.0
山东,370000,3d7554f1f56dd664,Sedan,2016,1,890,3643,43,3996,22752.0,890.0,92216.0,52336.0
